protein	CRYGC
protein	HSPB2
protein	HSPB3
protein	CALCRL
protein	CRYAB
protein	RAMP1
protein	RAMP3
protein	CRYAA
protein	CRYBB2
protein	SLC31A2
complex	RAMP3/HSPB3/CALCRL/RAMP1/CRYGC/CRYAB/CRYBB2/SLC31A2/HSPB2/CRYAA (complex)
CRYGC	RAMP3/HSPB3/CALCRL/RAMP1/CRYGC/CRYAB/CRYBB2/SLC31A2/HSPB2/CRYAA (complex)	component>
HSPB2	RAMP3/HSPB3/CALCRL/RAMP1/CRYGC/CRYAB/CRYBB2/SLC31A2/HSPB2/CRYAA (complex)	component>
HSPB3	RAMP3/HSPB3/CALCRL/RAMP1/CRYGC/CRYAB/CRYBB2/SLC31A2/HSPB2/CRYAA (complex)	component>
CALCRL	RAMP3/HSPB3/CALCRL/RAMP1/CRYGC/CRYAB/CRYBB2/SLC31A2/HSPB2/CRYAA (complex)	component>
CRYAB	RAMP3/HSPB3/CALCRL/RAMP1/CRYGC/CRYAB/CRYBB2/SLC31A2/HSPB2/CRYAA (complex)	component>
RAMP1	RAMP3/HSPB3/CALCRL/RAMP1/CRYGC/CRYAB/CRYBB2/SLC31A2/HSPB2/CRYAA (complex)	component>
RAMP3	RAMP3/HSPB3/CALCRL/RAMP1/CRYGC/CRYAB/CRYBB2/SLC31A2/HSPB2/CRYAA (complex)	component>
CRYAA	RAMP3/HSPB3/CALCRL/RAMP1/CRYGC/CRYAB/CRYBB2/SLC31A2/HSPB2/CRYAA (complex)	component>
CRYBB2	RAMP3/HSPB3/CALCRL/RAMP1/CRYGC/CRYAB/CRYBB2/SLC31A2/HSPB2/CRYAA (complex)	component>
SLC31A2	RAMP3/HSPB3/CALCRL/RAMP1/CRYGC/CRYAB/CRYBB2/SLC31A2/HSPB2/CRYAA (complex)	component>
