complex	CHD3/CHD4/GTF2I/HDAC1/HDAC2/HMG20B/KDM1A/KIAA0182/MTA1/MTA2/PHF21A/RBBP4/RBBP7/RCOR1/ZMYM2/ZMYM3 (complex)
complex	Aurora A/PP2A (complex)
protein	CHMP1B
complex	FASLG/FAS (trimer)/Btk (complex)
protein	DNA-PKcs
complex	RAD51:RPA complex (complex)
protein	CAMK4
complex	ACh/CHRNA1 (complex)
complex	CAMKII (8) (complex)
complex	EGF R/SRC (complex)
protein	SPN
complex	VEGFR1 homodimer/VEGFA homodimer/SHP2 (complex)
complex	UbCH7/8/Parkin/Substrate/ubiquitin (complex)
complex	TLR2/TLR6 activating compounds/TLR2/TLR6/MYD88/IRAK/CD14 (complex)
complex	SL1 (complex)
protein	UniProt:P14866 HNRNPL
protein	DHX8
protein	DHX9
complex	Basigin:MMP1 (complex)
protein	TCOF1
protein	GRK5-GRK6
complex	betaPIX/CDC42/GTP/CBL (complex)
protein	NUP98
protein	SP1
protein	XPA
protein	SP3
protein	NUP93
protein	SP5
complex	PPAR-alpha/Transcription factors (complex)
protein	OPA1
complex	NRP1/PLXNA1/SEMA6D (complex)
complex	APC/C (complex)
complex	IL2/IL2R alpha/beta/gamma/JAK1/LCK/JAK3/IRS1-2/PI3K (complex)
complex	mTORC1 complex (complex)
complex	eNOS/Caveolin-1 (complex)
complex	Importin-beta:Ran GTP complex (complex)
complex	DNA containing an MBD4-bound apurinic/apyrimidinic site (complex)
protein	ITGA9
protein	UGCG
complex	IL2/IL2R alpha/beta/gamma/JAK1/LCK/JAK3/PYK2 (complex)
protein	SYVN1
protein	alpha 2-8 polysialyltransferases
protein	ITGA1
protein	ITGA2
protein	ITGA3
complex	RPA heterotrimer (complex)
complex	RB1/E2F4/DP (complex)
protein	ITGA7
complex	POL Delta:APE1-bound 5' incised DNA strand break containing first resynthesized nucleotide (complex)
protein	GAP43
complex	SIN3/HDAC complex/NCoR1 (complex)
complex	RAD50:MRE11 complex (complex)
complex	40s Ribosome subunit/60s Ribosome Subunit/RNA strand (complex)
complex	beta catenin/APC/CtBP (complex)
complex	CHUK/COPB2/IKBKG/NFKB1/NFKB2/NFKBIA/NFKBIE/REL/RELA/SPAG9/TNIP1/TNIP2 (complex)
complex	VEGFR1 homodimer/NRP1/VEGFR 121 (complex)
complex	CDKs/Cyclin B1/2/14-3-3-sigma/ubiquitin (complex)
complex	Tie2/Ang1/Shc (complex)
complex	RAF1/14-3-3 E (complex)
complex	RAB11FIP3/RAB11A (complex)
complex	MHC II/TCR-CD3 (complex)
complex	NAPB/SNAP25/STX12/VAMP3 (complex)
complex	Mature intronless transcript derived Histone mRNA:SLBP:eIF4E Complex (complex)
complex	PI3K/GAB1 (complex)
protein	COL4A3
complex	EGF:Phospho-EGFR-GRB2:GAB1:PI3Kreg (complex)
complex	RNA Polymerase I:rRNATranscript:TTF-1:Sal Box Complex (complex)
complex	RET51/GFRalpha1/GDNF/Dok4 (complex)
complex	CBL:Sprouty (complex)
protein	HLX
protein	NOG
complex	HIF1A/ARNT (complex)
protein	ITGAV
complex	ARF1/GTP/ARHGAP10 (complex)
complex	Shelterin Complex (complex)
