protein	AP3M1
protein	AP3M2
protein	AP3S2
protein	HPS6
complex	BLOC1S1/BLOC1S2/BLOC1S3/CNO/DTNBP1/MUTED/PLDN/SNAPIN (complex)
protein	HPS3
protein	PLDN
protein	TXNDC5
protein	AP3B1
protein	AP3B2
protein	BLOC1S3
protein	BLOC1S2
protein	BLOC1S1
protein	NAPA
complex	BLOC1S1/BLOC1S2/BLOC1S3/CNO/DTNBP1/HPS3/HPS5/HPS6/MUTED/PLDN/SNAPIN (complex)
protein	AP3D1
protein	SNAPIN
protein	MUTED
complex	AP3B1/AP3B2/AP3D1/AP3M1/AP3M2/AP3S1/AP3S2/BLOC1S1/BLOC1S2/BLOC1S3/CNO/DTNBP1/MUTED/PLDN/SNAPIN (complex)
protein	DTNBP1
protein	CNO
complex	HPS3/HPS5/HPS6 (complex)
protein	HPS5
protein	AP3S1
complex	AP3B1/AP3B2/AP3D1/AP3M1/AP3M2/AP3S1/AP3S2 (complex)
complex	BLOC-1 Complex (complex)
AP3M1	AP3B1/AP3B2/AP3D1/AP3M1/AP3M2/AP3S1/AP3S2/BLOC1S1/BLOC1S2/BLOC1S3/CNO/DTNBP1/MUTED/PLDN/SNAPIN (complex)	component>
AP3M1	AP3B1/AP3B2/AP3D1/AP3M1/AP3M2/AP3S1/AP3S2 (complex)	component>
AP3M2	AP3B1/AP3B2/AP3D1/AP3M1/AP3M2/AP3S1/AP3S2/BLOC1S1/BLOC1S2/BLOC1S3/CNO/DTNBP1/MUTED/PLDN/SNAPIN (complex)	component>
AP3M2	AP3B1/AP3B2/AP3D1/AP3M1/AP3M2/AP3S1/AP3S2 (complex)	component>
AP3S2	AP3B1/AP3B2/AP3D1/AP3M1/AP3M2/AP3S1/AP3S2/BLOC1S1/BLOC1S2/BLOC1S3/CNO/DTNBP1/MUTED/PLDN/SNAPIN (complex)	component>
AP3S2	AP3B1/AP3B2/AP3D1/AP3M1/AP3M2/AP3S1/AP3S2 (complex)	component>
HPS6	BLOC1S1/BLOC1S2/BLOC1S3/CNO/DTNBP1/HPS3/HPS5/HPS6/MUTED/PLDN/SNAPIN (complex)	component>
HPS6	HPS3/HPS5/HPS6 (complex)	component>
HPS3	BLOC1S1/BLOC1S2/BLOC1S3/CNO/DTNBP1/HPS3/HPS5/HPS6/MUTED/PLDN/SNAPIN (complex)	component>
HPS3	HPS3/HPS5/HPS6 (complex)	component>
PLDN	AP3B1/AP3B2/AP3D1/AP3M1/AP3M2/AP3S1/AP3S2/BLOC1S1/BLOC1S2/BLOC1S3/CNO/DTNBP1/MUTED/PLDN/SNAPIN (complex)	component>
PLDN	BLOC1S1/BLOC1S2/BLOC1S3/CNO/DTNBP1/HPS3/HPS5/HPS6/MUTED/PLDN/SNAPIN (complex)	component>
PLDN	BLOC1S1/BLOC1S2/BLOC1S3/CNO/DTNBP1/MUTED/PLDN/SNAPIN (complex)	component>
PLDN	BLOC-1 Complex (complex)	component>
TXNDC5	BLOC-1 Complex (complex)	component>
AP3B1	AP3B1/AP3B2/AP3D1/AP3M1/AP3M2/AP3S1/AP3S2/BLOC1S1/BLOC1S2/BLOC1S3/CNO/DTNBP1/MUTED/PLDN/SNAPIN (complex)	component>
AP3B1	AP3B1/AP3B2/AP3D1/AP3M1/AP3M2/AP3S1/AP3S2 (complex)	component>
AP3B2	AP3B1/AP3B2/AP3D1/AP3M1/AP3M2/AP3S1/AP3S2/BLOC1S1/BLOC1S2/BLOC1S3/CNO/DTNBP1/MUTED/PLDN/SNAPIN (complex)	component>
AP3B2	AP3B1/AP3B2/AP3D1/AP3M1/AP3M2/AP3S1/AP3S2 (complex)	component>
BLOC1S3	AP3B1/AP3B2/AP3D1/AP3M1/AP3M2/AP3S1/AP3S2/BLOC1S1/BLOC1S2/BLOC1S3/CNO/DTNBP1/MUTED/PLDN/SNAPIN (complex)	component>
BLOC1S3	BLOC1S1/BLOC1S2/BLOC1S3/CNO/DTNBP1/HPS3/HPS5/HPS6/MUTED/PLDN/SNAPIN (complex)	component>
BLOC1S3	BLOC1S1/BLOC1S2/BLOC1S3/CNO/DTNBP1/MUTED/PLDN/SNAPIN (complex)	component>
BLOC1S3	BLOC-1 Complex (complex)	component>
BLOC1S2	AP3B1/AP3B2/AP3D1/AP3M1/AP3M2/AP3S1/AP3S2/BLOC1S1/BLOC1S2/BLOC1S3/CNO/DTNBP1/MUTED/PLDN/SNAPIN (complex)	component>
BLOC1S2	BLOC1S1/BLOC1S2/BLOC1S3/CNO/DTNBP1/HPS3/HPS5/HPS6/MUTED/PLDN/SNAPIN (complex)	component>
BLOC1S2	BLOC1S1/BLOC1S2/BLOC1S3/CNO/DTNBP1/MUTED/PLDN/SNAPIN (complex)	component>
BLOC1S1	AP3B1/AP3B2/AP3D1/AP3M1/AP3M2/AP3S1/AP3S2/BLOC1S1/BLOC1S2/BLOC1S3/CNO/DTNBP1/MUTED/PLDN/SNAPIN (complex)	component>
BLOC1S1	BLOC1S1/BLOC1S2/BLOC1S3/CNO/DTNBP1/HPS3/HPS5/HPS6/MUTED/PLDN/SNAPIN (complex)	component>
BLOC1S1	BLOC1S1/BLOC1S2/BLOC1S3/CNO/DTNBP1/MUTED/PLDN/SNAPIN (complex)	component>
BLOC1S1	BLOC-1 Complex (complex)	component>
NAPA	BLOC-1 Complex (complex)	component>
AP3D1	AP3B1/AP3B2/AP3D1/AP3M1/AP3M2/AP3S1/AP3S2/BLOC1S1/BLOC1S2/BLOC1S3/CNO/DTNBP1/MUTED/PLDN/SNAPIN (complex)	component>
AP3D1	AP3B1/AP3B2/AP3D1/AP3M1/AP3M2/AP3S1/AP3S2 (complex)	component>
SNAPIN	AP3B1/AP3B2/AP3D1/AP3M1/AP3M2/AP3S1/AP3S2/BLOC1S1/BLOC1S2/BLOC1S3/CNO/DTNBP1/MUTED/PLDN/SNAPIN (complex)	component>
SNAPIN	BLOC1S1/BLOC1S2/BLOC1S3/CNO/DTNBP1/HPS3/HPS5/HPS6/MUTED/PLDN/SNAPIN (complex)	component>
SNAPIN	BLOC1S1/BLOC1S2/BLOC1S3/CNO/DTNBP1/MUTED/PLDN/SNAPIN (complex)	component>
MUTED	AP3B1/AP3B2/AP3D1/AP3M1/AP3M2/AP3S1/AP3S2/BLOC1S1/BLOC1S2/BLOC1S3/CNO/DTNBP1/MUTED/PLDN/SNAPIN (complex)	component>
MUTED	BLOC1S1/BLOC1S2/BLOC1S3/CNO/DTNBP1/HPS3/HPS5/HPS6/MUTED/PLDN/SNAPIN (complex)	component>
MUTED	BLOC1S1/BLOC1S2/BLOC1S3/CNO/DTNBP1/MUTED/PLDN/SNAPIN (complex)	component>
DTNBP1	AP3B1/AP3B2/AP3D1/AP3M1/AP3M2/AP3S1/AP3S2/BLOC1S1/BLOC1S2/BLOC1S3/CNO/DTNBP1/MUTED/PLDN/SNAPIN (complex)	component>
DTNBP1	BLOC1S1/BLOC1S2/BLOC1S3/CNO/DTNBP1/HPS3/HPS5/HPS6/MUTED/PLDN/SNAPIN (complex)	component>
DTNBP1	BLOC1S1/BLOC1S2/BLOC1S3/CNO/DTNBP1/MUTED/PLDN/SNAPIN (complex)	component>
DTNBP1	BLOC-1 Complex (complex)	component>
CNO	AP3B1/AP3B2/AP3D1/AP3M1/AP3M2/AP3S1/AP3S2/BLOC1S1/BLOC1S2/BLOC1S3/CNO/DTNBP1/MUTED/PLDN/SNAPIN (complex)	component>
CNO	BLOC1S1/BLOC1S2/BLOC1S3/CNO/DTNBP1/HPS3/HPS5/HPS6/MUTED/PLDN/SNAPIN (complex)	component>
CNO	BLOC1S1/BLOC1S2/BLOC1S3/CNO/DTNBP1/MUTED/PLDN/SNAPIN (complex)	component>
CNO	BLOC-1 Complex (complex)	component>
HPS5	BLOC1S1/BLOC1S2/BLOC1S3/CNO/DTNBP1/HPS3/HPS5/HPS6/MUTED/PLDN/SNAPIN (complex)	component>
HPS5	HPS3/HPS5/HPS6 (complex)	component>
AP3S1	AP3B1/AP3B2/AP3D1/AP3M1/AP3M2/AP3S1/AP3S2/BLOC1S1/BLOC1S2/BLOC1S3/CNO/DTNBP1/MUTED/PLDN/SNAPIN (complex)	component>
AP3S1	AP3B1/AP3B2/AP3D1/AP3M1/AP3M2/AP3S1/AP3S2 (complex)	component>
