protein	CTDSP1
protein	PIAS4
protein	SMAD2
protein	KPNB1
protein	SMAD4
protein	MAP3K1
protein	SMAD3
protein	UBE2I
protein	CALM1
protein	KPNA2
protein	NUP153
protein	PPM1A
protein	NUP214
protein	MAPK1
protein	MAPK3
protein	TGFBRAP1
protein	CTDSPL
protein	CTDSP2
complex	TRAP-1/SMAD4
complex	SMAD4/Ubc9/PIASy
complex	SMAD3/SMAD4
complex	SMAD2/SMAD4
complex	SMAD2/SMAD2/SMAD4
CTDSP1	SMAD2	-a>
CTDSP1	SMAD3	-a>
PIAS4	SMAD4/Ubc9/PIASy	component>
SMAD2	SMAD2/SMAD4	component>
SMAD2	SMAD2/SMAD2/SMAD4	component>
KPNB1	SMAD3/SMAD4	-a>
SMAD4	TRAP-1/SMAD4	component>
SMAD4	SMAD4/Ubc9/PIASy	component>
SMAD4	SMAD3/SMAD4	component>
SMAD4	SMAD2/SMAD4	component>
SMAD4	SMAD2/SMAD2/SMAD4	component>
MAP3K1	SMAD2	-a>
SMAD3	SMAD3/SMAD4	component>
UBE2I	SMAD4/Ubc9/PIASy	component>
CALM1	SMAD2	-a|
KPNA2	SMAD3/SMAD4	-a>
KPNA2	SMAD2/SMAD2/SMAD4	-a>
NUP153	SMAD3/SMAD4	-a>
NUP153	SMAD2/SMAD2/SMAD4	-a>
PPM1A	SMAD2	-a>
PPM1A	SMAD3	-a>
NUP214	SMAD3/SMAD4	-a>
NUP214	SMAD2/SMAD2/SMAD4	-a>
MAPK1	SMAD2	-a>
MAPK1	SMAD3	-a>
MAPK3	SMAD2	-a>
MAPK3	SMAD3	-a>
TGFBRAP1	TRAP-1/SMAD4	component>
CTDSPL	SMAD2	-a>
CTDSPL	SMAD3	-a>
CTDSP2	SMAD2	-a>
CTDSP2	SMAD3	-a>
