protein	DAXX
protein	MAP3K5
protein	MAP3K14
protein	TRADD
protein	CASP8
protein	RIPK1
protein	BIRC3
protein	FADD
protein	TRAF1
protein	TRAF2
protein	RELA
protein	CYCS
protein	CRADD
protein	BID
protein	CASP6
protein	CASP9
protein	CASP7
protein	FASLG
protein	MAPK8
protein	CASP2
protein	CASP3
protein	NFKBIA
protein	FAS
protein	CD247
protein	NFKB1
protein	TNFRSF1A
protein	BCL2
protein	NEF
protein	TNF
protein	BAG4
protein	CFLAR
protein	CHUK
protein	MAP2K7
protein	APAF1
complex	TNFR1A/Caspase 2/TNF-alpha/FADD/TRADD/RIP1/cIAP2/TRAF1/TRAF2/Ask1/RAIDD
complex	TNFR1A/BAG4/TNF-alpha
complex	TNFR1A/BAG4
complex	TCRz/NEF
complex	NF-kappa-B/RelA/I kappa B alpha/ubiquitin
complex	NF-kappa-B/RelA/I kappa B alpha
complex	FAS/FADD/DAXX/Ask1/Caspase 8/Caspase 8/FASLG
complex	FAS/FADD/DAXX/Ask1/Caspase 8/Caspase 8
complex	Caspase 8 (4 units)
complex	APAF-1/Caspase 9
abstract	protein ubiquitination
DAXX	FAS/FADD/DAXX/Ask1/Caspase 8/Caspase 8/FASLG	component>
DAXX	FAS/FADD/DAXX/Ask1/Caspase 8/Caspase 8	component>
MAP3K5	TNFR1A/Caspase 2/TNF-alpha/FADD/TRADD/RIP1/cIAP2/TRAF1/TRAF2/Ask1/RAIDD	component>
MAP3K5	FAS/FADD/DAXX/Ask1/Caspase 8/Caspase 8/FASLG	component>
MAP3K5	FAS/FADD/DAXX/Ask1/Caspase 8/Caspase 8	component>
MAP3K14	CHUK	-a>
TRADD	TNFR1A/Caspase 2/TNF-alpha/FADD/TRADD/RIP1/cIAP2/TRAF1/TRAF2/Ask1/RAIDD	component>
CASP8	FAS/FADD/DAXX/Ask1/Caspase 8/Caspase 8/FASLG	component>
CASP8	FAS/FADD/DAXX/Ask1/Caspase 8/Caspase 8	component>
CASP8	Caspase 8 (4 units)	component>
RIPK1	TNFR1A/Caspase 2/TNF-alpha/FADD/TRADD/RIP1/cIAP2/TRAF1/TRAF2/Ask1/RAIDD	component>
BIRC3	CASP7	-a>
BIRC3	CASP3	-a>
BIRC3	TNFR1A/Caspase 2/TNF-alpha/FADD/TRADD/RIP1/cIAP2/TRAF1/TRAF2/Ask1/RAIDD	component>
BIRC3	APAF-1/Caspase 9	-a>
FADD	TNFR1A/Caspase 2/TNF-alpha/FADD/TRADD/RIP1/cIAP2/TRAF1/TRAF2/Ask1/RAIDD	component>
FADD	FAS/FADD/DAXX/Ask1/Caspase 8/Caspase 8/FASLG	component>
FADD	FAS/FADD/DAXX/Ask1/Caspase 8/Caspase 8	component>
TRAF1	TNFR1A/Caspase 2/TNF-alpha/FADD/TRADD/RIP1/cIAP2/TRAF1/TRAF2/Ask1/RAIDD	component>
TRAF2	TNFR1A/Caspase 2/TNF-alpha/FADD/TRADD/RIP1/cIAP2/TRAF1/TRAF2/Ask1/RAIDD	component>
RELA	NF-kappa-B/RelA/I kappa B alpha/ubiquitin	component>
RELA	NF-kappa-B/RelA/I kappa B alpha	component>
CYCS	APAF-1/Caspase 9	-a>
CRADD	TNFR1A/Caspase 2/TNF-alpha/FADD/TRADD/RIP1/cIAP2/TRAF1/TRAF2/Ask1/RAIDD	component>
BID	CYCS	-a>
CASP9	APAF-1/Caspase 9	component>
FASLG	FAS/FADD/DAXX/Ask1/Caspase 8/Caspase 8/FASLG	component>
MAPK8	BCL2	-a>
CASP2	TNFR1A/Caspase 2/TNF-alpha/FADD/TRADD/RIP1/cIAP2/TRAF1/TRAF2/Ask1/RAIDD	component>
NFKBIA	NF-kappa-B/RelA/I kappa B alpha/ubiquitin	component>
NFKBIA	NF-kappa-B/RelA/I kappa B alpha	component>
FAS	FAS/FADD/DAXX/Ask1/Caspase 8/Caspase 8/FASLG	component>
FAS	FAS/FADD/DAXX/Ask1/Caspase 8/Caspase 8	component>
CD247	TCRz/NEF	component>
NFKB1	NF-kappa-B/RelA/I kappa B alpha/ubiquitin	component>
NFKB1	NF-kappa-B/RelA/I kappa B alpha	component>
TNFRSF1A	TNFR1A/Caspase 2/TNF-alpha/FADD/TRADD/RIP1/cIAP2/TRAF1/TRAF2/Ask1/RAIDD	component>
TNFRSF1A	TNFR1A/BAG4/TNF-alpha	component>
TNFRSF1A	TNFR1A/BAG4	component>
NEF	TNFR1A/Caspase 2/TNF-alpha/FADD/TRADD/RIP1/cIAP2/TRAF1/TRAF2/Ask1/RAIDD	-a>
NEF	TCRz/NEF	component>
NEF	FAS/FADD/DAXX/Ask1/Caspase 8/Caspase 8/FASLG	-a>
TNF	TNFR1A/Caspase 2/TNF-alpha/FADD/TRADD/RIP1/cIAP2/TRAF1/TRAF2/Ask1/RAIDD	component>
TNF	TNFR1A/BAG4/TNF-alpha	component>
BAG4	TNFR1A/BAG4/TNF-alpha	component>
BAG4	TNFR1A/BAG4	component>
CFLAR	Caspase 8 (4 units)	-a|
CHUK	protein ubiquitination	-ap>
MAP2K7	MAPK8	-a>
APAF1	APAF-1/Caspase 9	component>
TNFR1A/Caspase 2/TNF-alpha/FADD/TRADD/RIP1/cIAP2/TRAF1/TRAF2/Ask1/RAIDD	MAP3K14	-a>
TNFR1A/Caspase 2/TNF-alpha/FADD/TRADD/RIP1/cIAP2/TRAF1/TRAF2/Ask1/RAIDD	MAP2K7	-a>
TCRz/NEF	FASLG	-t>
NF-kappa-B/RelA/I kappa B alpha/ubiquitin	BIRC3	-t>
FAS/FADD/DAXX/Ask1/Caspase 8/Caspase 8/FASLG	BID	-a>
FAS/FADD/DAXX/Ask1/Caspase 8/Caspase 8/FASLG	MAP2K7	-a>
FAS/FADD/DAXX/Ask1/Caspase 8/Caspase 8/FASLG	Caspase 8 (4 units)	-a>
Caspase 8 (4 units)	CASP6	-a>
Caspase 8 (4 units)	CASP7	-a>
Caspase 8 (4 units)	CASP3	-a>
APAF-1/Caspase 9	CASP6	-a>
APAF-1/Caspase 9	CASP7	-a>
APAF-1/Caspase 9	CASP3	-a>
