protein	ARHGEF2
protein	MAPK8IP1
protein	MAP3K11
protein	CDK5R1
protein	LRP8
protein	RAPGEF1
protein	GRIN2B
protein	GRIN2A
protein	CDK5
protein	VLDLR
protein	RELN
protein	RAP1A
protein	GSK3B
protein	MAP1B
protein	CRKL
protein	MAPK8
protein	PAFAH1B1
protein	PIK3CA
protein	AKT1
protein	LRPAP1
protein	PIK3R1
protein	ITGA3
protein	MAPT
protein	FYN
protein	ITGB1
protein	DAB1
protein	NCK2
protein	MAP2K7
complex	alpha3/beta1 Integrin
complex	RELN/VLDLR/Fyn
complex	RELN/VLDLR/DAB1/P13K
complex	RELN/VLDLR/DAB1/Fyn
complex	RELN/VLDLR/DAB1
complex	RELN/VLDLR
complex	RELN/LRP8/Fyn
complex	RELN/LRP8/DAB1/Fyn/MAPK8IP1/MKK7/MAP3K11/JNK1
complex	RELN/LRP8/DAB1/Fyn
complex	RELN/LRP8/DAB1
complex	RELN/LRP8
complex	PI3K
complex	MAPK8IP1/MKK7/MAP3K11/JNK1
complex	LRPAP1/LRP8
complex	GRIN2B/RELN/LRP8/DAB1/Fyn
complex	GRIN2A/RELN/LRP8/DAB1/Fyn
complex	DAB1/alpha3/beta1 Integrin
complex	DAB1/NCK2
complex	DAB1/LIS1
complex	DAB1/CRLK/C3G
complex	CRLK/C3G
complex	CDK5R1/CDK5
chemical	mol:Src family inhibitors PP1 and PP2
chemical	mol:PP2
abstract	neuron migration
abstract	neuron differentiation
abstract	neuron adhesion
abstract	long-term memory
mol:Src family inhibitors PP1 and PP2	RELN/VLDLR/DAB1/Fyn	-a|
mol:Src family inhibitors PP1 and PP2	RELN/VLDLR/DAB1	-a|
mol:Src family inhibitors PP1 and PP2	RELN/LRP8/DAB1/Fyn	-a|
mol:Src family inhibitors PP1 and PP2	RELN/LRP8/DAB1	-a|
mol:PP2	RELN/VLDLR/DAB1/P13K	-a|
ARHGEF2	RELN/LRP8/DAB1/Fyn/MAPK8IP1/MKK7/MAP3K11/JNK1	component>
ARHGEF2	MAPK8IP1/MKK7/MAP3K11/JNK1	component>
MAPK8IP1	RELN/LRP8/DAB1/Fyn/MAPK8IP1/MKK7/MAP3K11/JNK1	component>
MAPK8IP1	MAPK8IP1/MKK7/MAP3K11/JNK1	component>
MAP3K11	RELN/LRP8/DAB1/Fyn/MAPK8IP1/MKK7/MAP3K11/JNK1	component>
MAP3K11	MAPK8IP1/MKK7/MAP3K11/JNK1	component>
CDK5R1	CDK5R1/CDK5	component>
LRP8	RELN/LRP8/Fyn	component>
LRP8	RELN/LRP8/DAB1/Fyn/MAPK8IP1/MKK7/MAP3K11/JNK1	component>
LRP8	RELN/LRP8/DAB1/Fyn	component>
LRP8	RELN/LRP8/DAB1	component>
LRP8	RELN/LRP8	component>
LRP8	LRPAP1/LRP8	component>
LRP8	GRIN2B/RELN/LRP8/DAB1/Fyn	component>
LRP8	GRIN2A/RELN/LRP8/DAB1/Fyn	component>
RAPGEF1	DAB1/CRLK/C3G	component>
