protein	DAPP1
protein	PLEKHA1
protein	PLEKHA2
protein	CYTH2
protein	ARAP3
protein	BLNK
protein	PREX1
protein	CYTH1
protein	ARHGEF6
protein	ARHGEF7
protein	TIAM1
protein	ITK
protein	SOS1
protein	BTK
protein	ARF5
protein	ARF1
protein	RAC1
protein	RAP1A
protein	ARF6
protein	RHOA
protein	PTEN
protein	BLK
protein	SYK
protein	ZAP70
protein	PLCG1
protein	PLCG2
protein	VAV1
protein	SRC
protein	FGR
protein	HCK
protein	LYN
protein	YES1
protein	HSP90AA1
protein	FYN
protein	LCK
protein	KRAS
protein	KRAS
protein	HRAS
protein	NRAS
protein	ADAP1
protein	CYTH3
protein	LAT
protein	FOXO3
protein	PDPK1
protein	INPPL1
protein	INPP5D
protein	SGK1
protein	GO:0030676
complex	Src family/SYK family/BLNK-LAT/BTK-ITK/PLC-gamma
complex	Src family/SYK family/BLNK-LAT/BTK-ITK
complex	Src family/SYK family/BLNK-LAT
complex	RhoA/GTP
complex	RhoA/GDP
complex	Rac1/GTP
complex	Rac1/GDP
complex	RAS family/GTP/PI3K Class I
complex	RAP1A/GTP
complex	PDK1/Src/Hsp90
complex	ARF6/GTP
complex	ARF6/GDP
complex	ARF5/GTP
complex	ARF5/GDP
complex	ARF1/GTP
complex	ARF1/GDP
complex	ARAP3/RAP1A/GTP
chemical	mol:PI-3-4-P2
chemical	mol:PI-3-4-5-P3
chemical	mol:IP4
chemical	mol:IP3
chemical	mol:GTP
chemical	mol:GDP
chemical	mol:DAG
chemical	mol:Ca2+
abstract	actin cytoskeleton reorganization
mol:PI-3-4-P2	DAPP1	-a>
mol:PI-3-4-P2	PLEKHA1	-a>
mol:PI-3-4-P2	PLEKHA2	-a>
mol:PI-3-4-5-P3	CYTH2	-a>
mol:PI-3-4-5-P3	ARAP3	-a>
mol:PI-3-4-5-P3	CYTH1	-a>
mol:PI-3-4-5-P3	ITK	-a>
mol:PI-3-4-5-P3	BTK	-a>
mol:PI-3-4-5-P3	ADAP1	-a>
mol:PI-3-4-5-P3	CYTH3	-a>
mol:PI-3-4-5-P3	SGK1	-a>
mol:IP4	mol:GDP	-a|
mol:IP4	ARF1/GTP	-a|
mol:IP3	mol:Ca2+	-a>
mol:GTP	RhoA/GTP	component>
mol:GTP	Rac1/GTP	component>
mol:GTP	RAS family/GTP/PI3K Class I	component>
mol:GTP	RAP1A/GTP	component>
mol:GTP	ARF6/GTP	component>
mol:GTP	ARF5/GTP	component>
mol:GTP	ARF1/GTP	component>
mol:GTP	ARAP3/RAP1A/GTP	component>
mol:GDP	RhoA/GDP	component>
mol:GDP	Rac1/GDP	component>
mol:GDP	ARF6/GDP	component>
mol:GDP	ARF5/GDP	component>
mol:GDP	ARF1/GDP	component>
CYTH2	mol:GDP	-a>
CYTH2	ARF6/GTP	-a>
CYTH2	ARF1/GTP	-a>
ARAP3	mol:GTP	-a>
ARAP3	ARF6/GDP	-a>
ARAP3	ARAP3/RAP1A/GTP	component>
BLNK	Src family/SYK family/BLNK-LAT/BTK-ITK/PLC-gamma	component>
BLNK	Src family/SYK family/BLNK-LAT/BTK-ITK	component>
