id	name	source
36871	Arf6 downstream pathway	NCI-PID
36872	Thromboxane A2 receptor signaling	NCI-PID
36873	EphrinB-EPHB pathway	NCI-PID
36874	Aurora C signaling	NCI-PID
36875	Cellular roles of Anthrax toxin	NCI-PID
36876	Wnt signaling network	NCI-PID
36877	Trk receptor signaling mediated by the MAPK pathway	NCI-PID
36878	VEGFR3 signaling in lymphatic endothelium	NCI-PID
36879	TCR signaling in na&#xef;ve CD8+ T cells	NCI-PID
36880	Signaling mediated by p38-gamma and p38-delta	NCI-PID
36881	Validated targets of C-MYC transcriptional repression	NCI-PID
36882	Nectin adhesion pathway	NCI-PID
36883	Glucocorticoid receptor signaling	NCI-PID
36884	IGF1 pathway	NCI-PID
36885	Signaling events mediated by Hepatocyte Growth Factor Receptor (c-Met)	NCI-PID
36886	TNF receptor signaling pathway	NCI-PID
36887	Nongenotropic Androgen signaling	NCI-PID
36888	IL23-mediated signaling events	NCI-PID
36889	Calcium signaling in the CD4+ TCR pathway	NCI-PID
36890	FOXA2 and FOXA3 transcription factor networks	NCI-PID
36891	Effects of Botulinum toxin	NCI-PID
36892	Aurora B signaling	NCI-PID
36893	Signaling events mediated by HDAC Class III	NCI-PID
36894	RAC1 signaling pathway	NCI-PID
36895	Plasma membrane estrogen receptor signaling	NCI-PID
36896	IL2 signaling events mediated by PI3K	NCI-PID
36897	Paxillin-dependent events mediated by a4b1	NCI-PID
36898	p38 MAPK signaling pathway	NCI-PID
36899	ErbB1 downstream signaling	NCI-PID
36900	ALK1 pathway	NCI-PID
36901	PLK3 signaling events	NCI-PID
36902	TGF-beta receptor signaling	NCI-PID
36903	FAS (CD95) signaling pathway	NCI-PID
36904	E-cadherin signaling events	NCI-PID
36905	PLK2 and PLK4 events	NCI-PID
36906	Stabilization and expansion of the E-cadherin adherens junction	NCI-PID
36907	Insulin Pathway	NCI-PID
36908	Coregulation of Androgen receptor activity	NCI-PID
36909	Signaling events mediated by HDAC Class I	NCI-PID
36910	Regulation of Notch signaling	NCI-PID
36911	Regulation of Androgen receptor activity	NCI-PID
36912	E-cadherin signaling in the nascent adherens junction	NCI-PID
36913	p38 signaling mediated by MAPKAP kinases	NCI-PID
36914	IL12-mediated signaling events	NCI-PID
36915	ATF-2 transcription factor network	NCI-PID
36916	ALK2 signaling events	NCI-PID
36917	FOXA transcription factor networks	NCI-PID
36918	S1P1 pathway	NCI-PID
36919	RXR and RAR heterodimerization with other nuclear receptor	NCI-PID
36920	Osteopontin-mediated events	NCI-PID
36921	E2F transcription factor network	NCI-PID
36922	Signaling events regulated by Ret tyrosine kinase	NCI-PID
36923	Endothelins	NCI-PID
36924	Aurora A signaling	NCI-PID
36925	EphrinA-EPHA pathway	NCI-PID
36926	Polo-like kinase signaling events in the cell cycle	NCI-PID
36927	FoxO family signaling	NCI-PID
36928	Regulation of nuclear SMAD2/3 signaling	NCI-PID
36929	Presenilin action in Notch and Wnt signaling	NCI-PID
36930	Reelin signaling pathway	NCI-PID
36931	Ras signaling in the CD4+ TCR pathway	NCI-PID
36932	BARD1 signaling events	NCI-PID
36933	Androgen-mediated signaling	NCI-PID
36934	FOXM1 transcription factor network	NCI-PID
36935	Signaling events mediated by PRL	NCI-PID
36936	Class IB PI3K non-lipid kinase events	NCI-PID
36937	Class I PI3K signaling events mediated by Akt	NCI-PID
36938	Signaling events mediated by focal adhesion kinase	NCI-PID
36939	Atypical NF-kappaB pathway	NCI-PID
36940	Retinoic acid receptors-mediated signaling	NCI-PID
36941	EGF receptor (ErbB1) signaling pathway	NCI-PID
36942	Regulation of Wnt-mediated beta catenin signaling and target gene transcription	NCI-PID
36943	Hypoxic and oxygen homeostasis regulation of HIF-1-alpha	NCI-PID
36944	Visual signal transduction: Cones	NCI-PID
36945	Canonical Wnt signaling pathway	NCI-PID
36946	Downstream signaling in na&#xef;ve CD8+ T cells	NCI-PID
36947	Signaling events mediated by VEGFR1 and VEGFR2	NCI-PID
36948	Ephrin A  reverse signaling	NCI-PID
36949	Arf6 signaling events	NCI-PID
36950	Nephrin/Neph1 signaling in the kidney podocyte	NCI-PID
36951	Glypican 3 network	NCI-PID
