abstract	pseudopodium formation
abstract	regulation of stress fiber formation
abstract	Monocyte
abstract	ruffle organization
abstract	JNK cascade
abstract	cAMP biosynthetic process
abstract	cell adhesion
abstract	MAPKKK cascade
abstract	apoptosis
abstract	vasodilation
complex	E2/ER alpha (dimer)/PELP1/Src/p52 SHC/GRB2/SOS1
smallMolecule	DAG
complex	E2/ER alpha (dimer)
smallMolecule	O2
complex	Gq family/GDP/Gbeta gamma
complex	E2/ERA-ERB (dimer)
complex	RAS family/GTP
complex	E2/ER alpha (dimer)/PELP1/Src/p130 Cas
protein	MMP9_107-707
complex	Gai/GDP
complex	G13/GTP
complex	IGF-1R heterotetramer
complex	E2/ER alpha (dimer)/PELP1/Src/p52 SHC
complex	E2/ER alpha (dimer)/PELP1/Src/PI3K
smallMolecule	L-arginine
protein	PLC beta
complex	ER alpha/Gai/GDP/Gbeta gamma
complex	RhoA/GDP
complex	G13/GDP/Gbeta gamma
complex	E2/ER beta (dimer)
complex	E2/ER alpha (dimer)/Striatin
smallMolecule	L-citrulline
smallMolecule	NADPH
complex	GRB2/SOS1
protein	ERA-ERB
complex	Gq family/GTP
complex	IGF-1R heterotetramer/IGF1
complex	Gs family/GDP/Gbeta gamma
complex	Gs family/GTP
smallMolecule	PI-3-4-5-P3
smallMolecule	NO
protein	eNOS
smallMolecule	NADP
smallMolecule	PI-4-5-P2
complex	PI3K
smallMolecule	Ca2+
protein	p52 SHC
smallMolecule	IP3
complex	GNB1/GNG2
complex	RhoA/GTP
protein	p130 Cas
complex	E2/ER alpha (dimer)/PELP1/Src
smallMolecule	E2
complex	E2/ER alpha (dimer)/PELP1
smallMolecule	GDP
smallMolecule	GTP
protein	STRN
protein	SRC
protein	ROCK2
protein	PELP1
protein	MSN
protein	MMP2
protein	MAPK11
protein	IGF1
protein	HBEGF
protein	ESR2
protein	ESR1
protein	AKT1
E2/ERA-ERB (dimer)	Gq family/GTP	component>
PLC beta	DAG	-a>
PI-3-4-5-P3	AKT1	-a>
NO	cell adhesion	-ap|
E2/ER alpha (dimer)	G13/GTP	component>
E2/ER alpha (dimer)/PELP1/Src/p52 SHC	IGF-1R heterotetramer/IGF1	component>
E2/ER alpha (dimer)/PELP1/Src/PI3K	PI-3-4-5-P3	-a>
RAS family/GTP	RhoA/GTP	-a>
G13/GTP	RhoA/GTP	-a>
E2/ERA-ERB (dimer)	Gs family/GTP	component>
eNOS	L-citrulline	-a>
p52 SHC	E2/ER alpha (dimer)/PELP1/Src/p52 SHC	component>
E2/ER alpha (dimer)/PELP1/Src	E2/ER alpha (dimer)/PELP1/Src/p52 SHC	component>
AKT1	eNOS	-a>
RhoA/GTP	ROCK2	-a>
GTP	Gq family/GTP	component>
Gq family/GDP/Gbeta gamma	GDP	component>
Gq family/GDP/Gbeta gamma	GNB1/GNG2	component>
Gq family/GDP/Gbeta gamma	Gq family/GTP	component>
SRC	MMP2	-a>
E2/ER alpha (dimer)/PELP1/Src	E2/ER alpha (dimer)/PELP1/Src	-a>
Gq family/GTP	PLC beta	-a>
ESR1	E2/ER alpha (dimer)	component>
PI3K	E2/ER alpha (dimer)/PELP1/Src/PI3K	component>
E2/ER alpha (dimer)/PELP1/Src	E2/ER alpha (dimer)/PELP1/Src/PI3K	component>
GRB2/SOS1	E2/ER alpha (dimer)/PELP1/Src/p52 SHC/GRB2/SOS1	component>
E2/ER alpha (dimer)/PELP1/Src/p52 SHC	E2/ER alpha (dimer)/PELP1/Src/p52 SHC/GRB2/SOS1	component>
E2/ER beta (dimer)	E2/ER beta (dimer)	-a>
PI-4-5-P2	IP3	-a>
PI-4-5-P2	DAG	-a>
p130 Cas	E2/ER alpha (dimer)/PELP1/Src/p130 Cas	component>
