abstract	hyperosmotic response
abstract	response to DNA damage stimulus
abstract	response to oxidative stress
abstract	response to stress
protein	TAO family-active
complex	GADD45/MTK1/MTK1
smallMolecule	LPS
complex	TRAF2/ASK1
complex	RAC1/OSM/MEKK3/MKK3
complex	TRX/ASK1
complex	RAC1/OSM/MEKK3
complex	CaM/Ca2+/CAMKIIB
complex	OSM/MEKK3
complex	TRAF6/ASK1
protein	p38alpha-beta-active
protein	GADD45 family
complex	TAK1/TAB family
protein	MEKK1
protein	TAO family
protein	TAB family
complex	CaM/Ca2+/CAMKIIB/ASK1
complex	ASK1/ASK2
protein	TXN
protein	TRAF6
protein	TRAF2
protein	RAC1
protein	MAP3K7IP2
protein	MAP3K7
protein	MAP3K5
protein	MAP3K4
protein	MAP3K10
protein	MAP2K6
protein	MAP2K3
protein	ATM
ATM	TAO family-active	-a>
response to DNA damage stimulus	TAO family-active	-a>
MAP3K7IP2	TRAF6	-a>
LPS	TRAF6/ASK1	-a>
response to oxidative stress	TRAF6/ASK1	-a>
hyperosmotic response	RAC1/OSM/MEKK3	component>
response to stress	GADD45/MTK1/MTK1	component>
p38alpha-beta-active	TAK1/TAB family	component>
TRAF6	TAK1/TAB family	component>
response to oxidative stress	TRAF2/ASK1	-a>
TAO family	TAO family-active	-a>
response to stress	TRAF6	-a>
TAO family-active	MAP2K6	-a>
MAP3K10	MAP2K6	-a>
MAP3K5	CaM/Ca2+/CAMKIIB/ASK1	component>
CaM/Ca2+/CAMKIIB	CaM/Ca2+/CAMKIIB/ASK1	component>
TAO family-active	MAP2K3	-a>
CaM/Ca2+/CAMKIIB/ASK1	MAP2K6	-a>
TRAF6	TXN	-a>
TRAF6	TRAF6/ASK1	-a>
TRX/ASK1	TRAF6/ASK1	-a>
MEKK1	MAP2K3	-a>
TRAF2/ASK1	MAP2K3	-a>
TAK1/TAB family	MAP2K6	-a>
CaM/Ca2+/CAMKIIB/ASK1	MAP2K3	-a>
ASK1/ASK2	MAP2K6	-a>
OSM/MEKK3	RAC1/OSM/MEKK3	component>
RAC1	RAC1/OSM/MEKK3	component>
TRAF2/ASK1	MAP2K6	-a>
TRAF6/ASK1	MAP2K3	-a>
MAP3K4	GADD45/MTK1/MTK1	component>
GADD45 family	GADD45/MTK1/MTK1	component>
TAB family	TAK1/TAB family	component>
MAP3K7	TAK1/TAB family	component>
MAP3K10	MAP2K3	-a>
TRAF2	TXN	-a>
TRAF2	TRAF2/ASK1	-a>
TRX/ASK1	TXN	-a>
TRX/ASK1	TRAF2/ASK1	-a>
MEKK1	MAP2K6	-a>
TRAF6/ASK1	MAP2K6	-a>
GADD45/MTK1/MTK1	MAP2K6	-a>
TAK1/TAB family	MAP2K3	-a>
MAP2K3	RAC1/OSM/MEKK3/MKK3	component>
RAC1/OSM/MEKK3	RAC1/OSM/MEKK3/MKK3	component>
