abstract	tumor necrosis factor-mediated signaling pathway
abstract	negative regulation of MAPKKK cascade
complex	Insulin Receptor/Insulin/SHC/GRB10
complex	Insulin Receptor/Insulin/GRB14/PDK1
complex	Insulin Receptor
complex	TC10/GTP/CIP4
protein	LRP
complex	CBL/APS/CAP/Crk-II
smallMolecule	cAMP
complex	Insulin Receptor/Insulin/IRS1/NCK2
complex	Insulin Receptor/Insuli/IRS1/GRB2/SHC/PTP1B
complex	CBL/APS/CAP/Crk-II/C3G
complex	APS homodimer
complex	Exocyst
complex	TC10/GTP/CIP4/Exocyst
complex	Insulin Receptor/Insuli/IRS1/GRB2/Shc
complex	Insulin Receptor/Insulin/SHC/GRB2/Sos1
complex	Insulin Receptor/Insulin/IRS1
complex	p62DOK/RasGAP
complex	SHC/SHIP
complex	HRAS/GDP
complex	Insulin Receptor/Insulin/Shc
complex	HRAS/GTP
protein	IRS3
complex	Insulin Receptor/Insulin/IRS3
smallMolecule	Na+
protein	CRK-II
protein	SHIP
protein	CAP
complex	CBL/APS/CAP
smallMolecule	PI-3-4-5-P3
protein	ENaC
complex	TC10/GTP
complex	Insulin Receptor/Insuli/IRS1/GRB2/SHC/Sos
smallMolecule	PI-3-4-P2
complex	Insulin Receptor/Insulin/IRS1/Shp2
smallMolecule	PI-4-5-P2
complex	PI3K
protein	Atypical PKCs
complex	Insulin Receptor/Insulin
protein	SHP2
complex	Par3/Par6
smallMolecule	H2O2
complex	TC10/GDP
protein	TRIP10
protein	SOS1
protein	SHC1
protein	SGK1
protein	RPS6KB1
protein	RASA1
protein	RAPGEF1
protein	PTPN1
protein	PDPK1
protein	NCK2
protein	NCK1
protein	IRS1
protein	INS
protein	GRB2
protein	GRB14
protein	GRB10
protein	FOXO3
protein	EIF4EBP1
protein	DOK1
protein	CBL
protein	CAV1
protein	AKT2
protein	AKT1
LRP	Insulin Receptor/Insulin	-a>
CBL/APS/CAP/Crk-II/C3G	TC10/GTP	-a>
Insulin Receptor/Insulin/IRS1	CBL/APS/CAP	component>
PI3K	PI-3-4-5-P3	-a>
SHIP	PI-3-4-P2	-a>
SHC/SHIP	HRAS/GTP	-a|
Insulin Receptor/Insuli/IRS1/GRB2/SHC/Sos	HRAS/GTP	-a>
cAMP	SGK1	-a>
Insulin Receptor/Insulin/SHC/GRB2/Sos1	HRAS/GTP	-a>
tumor necrosis factor-mediated signaling pathway	Insulin Receptor/Insulin/IRS1	component>
PTPN1	Insulin Receptor/Insulin	-a>
Insulin Receptor/Insulin/SHC/GRB10	DOK1	-a|
SGK1	SGK1	-a>
Insulin Receptor/Insulin	PTPN1	-t>
NCK2	Insulin Receptor/Insulin/IRS1/NCK2	component>
Insulin Receptor/Insulin/IRS1	Insulin Receptor/Insulin/IRS1/NCK2	component>
Exocyst	TC10/GTP/CIP4/Exocyst	component>
TC10/GTP/CIP4	TC10/GTP/CIP4/Exocyst	component>
TC10/GDP	TC10/GTP	-a>
SGK1	FOXO3	-a>
CAP	CBL/APS/CAP	component>
APS homodimer	CBL/APS/CAP	component>
CBL	CBL/APS/CAP	component>
PI-4-5-P2	PI-3-4-5-P3	-a>
SHIP	SHC/SHIP	component>
SHIP	Insulin Receptor/Insuli/IRS1/GRB2/Shc	component>
GRB2	SHC/SHIP	component>
GRB2	Insulin Receptor/Insuli/IRS1/GRB2/Shc	component>
SHC1	SHC/SHIP	component>
SHC1	Insulin Receptor/Insuli/IRS1/GRB2/Shc	component>
Insulin Receptor/Insulin/IRS1	SHC/SHIP	component>
Insulin Receptor/Insulin/IRS1	Insulin Receptor/Insuli/IRS1/GRB2/Shc	component>
Insulin Receptor/Insulin/GRB14/PDK1	AKT1	-a>
