abstract	neuron differentiation
abstract	neuron adhesion
abstract	protein ubiquitination
abstract	long-term memory
abstract	neuron migration
complex	RELN/VLDLR/DAB1
complex	GRIN2A/RELN/LRP8/DAB1/Fyn
complex	DAB1/CRLK/C3G
complex	DAB1/NCK2
complex	GRIN2B/RELN/LRP8/DAB1/Fyn
complex	DAB1/LIS1
complex	RELN/LRP8/DAB1
smallMolecule	PP2
smallMolecule	Src family inhibitors PP1 and PP2
complex	RELN/LRP8/Fyn
complex	CRLK/C3G
complex	alpha3/beta1 Integrin
complex	RELN/VLDLR
complex	RELN/LRP8/DAB1/Fyn/MAPK8IP1/MKK7/MAP3K11/JNK1
complex	RELN/LRP8
complex	DAB1/alpha3/beta1 Integrin
complex	RELN/VLDLR/Fyn
complex	RELN/VLDLR/DAB1/Fyn
complex	RELN/LRP8/DAB1/Fyn
complex	CDK5R1/CDK5
complex	PI3K
complex	LRPAP1/LRP8
complex	MAPK8IP1/MKK7/MAP3K11/JNK1
complex	RELN/VLDLR/DAB1/P13K
protein	VLDLR
protein	RELN
protein	RAP1A
protein	PAFAH1B1
protein	NCK2
protein	MAPT
protein	MAP1B
protein	LRPAP1
protein	LRP8
protein	GSK3B
protein	GRIN2B
protein	GRIN2A
protein	FYN
protein	DAB1
protein	CDK5R1
protein	CDK5
protein	CBL
protein	AKT1
RELN/LRP8	DAB1/NCK2	component>
RELN/VLDLR	DAB1/NCK2	component>
RELN/VLDLR	DAB1/alpha3/beta1 Integrin	component>
RELN/LRP8	DAB1/alpha3/beta1 Integrin	component>
RELN/LRP8/DAB1	MAP1B	-a>
RELN/VLDLR	DAB1/LIS1	component>
CBL	protein ubiquitination	-ap>
RELN/LRP8	DAB1/CRLK/C3G	component>
RELN/VLDLR	DAB1/CRLK/C3G	component>
Src family inhibitors PP1 and PP2	RELN/VLDLR/DAB1/Fyn	component>
PP2	RELN/VLDLR/DAB1/P13K	component>
LRPAP1/LRP8	RELN/VLDLR	component>
RELN/LRP8/DAB1/Fyn/MAPK8IP1/MKK7/MAP3K11/JNK1	neuron differentiation	-ap>
CDK5	CDK5R1/CDK5	component>
CDK5R1	CDK5R1/CDK5	component>
RELN/VLDLR/DAB1/P13K	neuron migration	-ap>
RELN/VLDLR/DAB1/Fyn	neuron migration	-ap>
GRIN2B/RELN/LRP8/DAB1/Fyn	long-term memory	-ap>
MAPK8IP1/MKK7/MAP3K11/JNK1	RELN/LRP8/DAB1/Fyn/MAPK8IP1/MKK7/MAP3K11/JNK1	component>
RELN/LRP8/DAB1/Fyn	RELN/LRP8/DAB1/Fyn/MAPK8IP1/MKK7/MAP3K11/JNK1	component>
CDK5R1/CDK5	neuron migration	-ap>
DAB1/LIS1	neuron migration	-ap>
RELN/VLDLR/DAB1/P13K	AKT1	-a>
LRP8	LRPAP1/LRP8	component>
LRPAP1	LRPAP1/LRP8	component>
NCK2	DAB1/NCK2	component>
DAB1	DAB1/NCK2	component>
alpha3/beta1 Integrin	DAB1/alpha3/beta1 Integrin	component>
DAB1	DAB1/alpha3/beta1 Integrin	component>
RAP1A	neuron adhesion	-ap>
DAB1/NCK2	neuron migration	-ap>
DAB1/alpha3/beta1 Integrin	neuron adhesion	-ap>
DAB1/CRLK/C3G	RAP1A	-a>
DAB1/alpha3/beta1 Integrin	neuron migration	-ap|
RELN/VLDLR/DAB1	MAP1B	-a>
PAFAH1B1	DAB1/LIS1	component>
DAB1	DAB1/LIS1	component>
RELN/LRP8/DAB1/Fyn	protein ubiquitination	-ap>
RELN/VLDLR/DAB1/Fyn	protein ubiquitination	-ap>
CRLK/C3G	DAB1/CRLK/C3G	component>
DAB1	DAB1/CRLK/C3G	component>
GRIN2A/RELN/LRP8/DAB1/Fyn	long-term memory	-ap>
RELN/LRP8/Fyn	RELN/LRP8/DAB1	component>
RELN/LRP8/Fyn	RELN/VLDLR/DAB1	component>
RELN/LRP8/Fyn	RELN/LRP8/DAB1/Fyn	component>
RELN/LRP8/Fyn	RELN/VLDLR/DAB1/Fyn	component>
RELN/VLDLR/Fyn	RELN/LRP8/DAB1	component>
RELN/VLDLR/Fyn	RELN/VLDLR/DAB1	component>
RELN/VLDLR/Fyn	RELN/LRP8/DAB1/Fyn	component>
RELN/VLDLR/Fyn	RELN/VLDLR/DAB1/Fyn	component>
DAB1	RELN/LRP8/DAB1	component>
DAB1	RELN/VLDLR/DAB1	component>
DAB1	RELN/LRP8/DAB1/Fyn	component>
DAB1	RELN/VLDLR/DAB1/Fyn	component>
AKT1	GSK3B	-a>
GSK3B	MAPT	-a|
RELN/LRP8	RELN/LRP8/Fyn	component>
RELN/LRP8	RELN/VLDLR/Fyn	component>
FYN	RELN/LRP8/Fyn	component>
FYN	RELN/VLDLR/Fyn	component>
RELN/VLDLR	RELN/LRP8/Fyn	component>
RELN/VLDLR	RELN/VLDLR/Fyn	component>
RELN/VLDLR/DAB1	RELN/VLDLR/DAB1/P13K	component>
PI3K	RELN/VLDLR/DAB1/P13K	component>
RELN/LRP8/DAB1/Fyn	neuron migration	-ap>
RELN/LRP8/DAB1/Fyn	GRIN2B/RELN/LRP8/DAB1/Fyn	component>
RELN/LRP8/DAB1/Fyn	GRIN2A/RELN/LRP8/DAB1/Fyn	component>
GRIN2B	GRIN2B/RELN/LRP8/DAB1/Fyn	component>
GRIN2B	GRIN2A/RELN/LRP8/DAB1/Fyn	component>
GRIN2A	GRIN2B/RELN/LRP8/DAB1/Fyn	component>
GRIN2A	GRIN2A/RELN/LRP8/DAB1/Fyn	component>
LRP8	RELN/LRP8	component>
LRP8	RELN/VLDLR	component>
VLDLR	RELN/LRP8	component>
VLDLR	RELN/VLDLR	component>
RELN	RELN/LRP8	component>
RELN	RELN/VLDLR	component>
