abstract	positive regulation of anti-apoptosis
abstract	response to UV
abstract	response to oxidative stress
abstract	cell death
abstract	degradation
complex	NF kappa B1 p50/RelA/I kappa B alpha/beta Arrestin2
complex	NF kappa B1 p105/c-Rel
complex	BCL3/RelA
complex	NF kappa B1 p50/c-Rel
complex	NF kappa B1 p105/p50
complex	CK2
complex	I kappa B alpha/PIK3R1
complex	beta TrCP1/SCF ubiquitin ligase complex
complex	NF kappa B1 p105/RelA
complex	NF kappa B1 p50/RelA/I kappa B alpha
complex	BCL3/NF kappa B1 p50
complex	NF kappa B1 p50 dimer
complex	PI3K
complex	NF kappa B1 p50/RelA
protein	SYK
protein	SRC
protein	RELA
protein	PIK3CA
protein	NFKBIA
protein	NFKB1
protein	MAPK14
protein	LCK
protein	IKBKB
protein	BCL3
protein	ARRB2
LCK	NFKBIA	component>
SRC	NFKBIA	component>
SYK	NFKBIA	component>
response to oxidative stress	NFKBIA	component>
beta TrCP1/SCF ubiquitin ligase complex	NF kappa B1 p105/p50	component>
MAPK14	NF kappa B1 p50/RelA	component>
CK2	NF kappa B1 p50/RelA	component>
response to UV	NF kappa B1 p50/RelA	component>
MAPK14	ARRB2	-a>
CK2	ARRB2	-a>
IKBKB	NF kappa B1 p50 dimer	-a>
NFKBIA	degradation	-ap>
NF kappa B1 p50 dimer	NF kappa B1 p50 dimer	-a>
NF kappa B1 p50/RelA	positive regulation of anti-apoptosis	-ap>
RELA	NF kappa B1 p105/RelA	component>
NFKB1	NF kappa B1 p105/RelA	component>
NF kappa B1 p105/p50	degradation	-ap>
IKBKB	NFKB1	-a>
NFKB1	NF kappa B1 p105/p50	component>
NF kappa B1 p50/RelA/I kappa B alpha	NFKBIA	component>
NF kappa B1 p50/RelA	NF kappa B1 p50/RelA	-a>
NF kappa B1 p105/RelA	NF kappa B1 p50/RelA	-a>
response to UV	ARRB2	-a>
NF kappa B1 p105/c-Rel	NF kappa B1 p50/c-Rel	-a>
NF kappa B1 p50 dimer	BCL3/NF kappa B1 p50	component>
BCL3	BCL3/NF kappa B1 p50	component>
NF kappa B1 p50/RelA/I kappa B alpha	NF kappa B1 p50/RelA/I kappa B alpha/beta Arrestin2	component>
ARRB2	NF kappa B1 p50/RelA/I kappa B alpha/beta Arrestin2	component>
NF kappa B1 p50/RelA/I kappa B alpha/beta Arrestin2	NF kappa B1 p50/RelA/I kappa B alpha/beta Arrestin2	-a>
NF kappa B1 p105/p50	NF kappa B1 p50 dimer	-a>
NF kappa B1 p50/RelA/I kappa B alpha/beta Arrestin2	cell death	-ap>
PI3K	PIK3CA	component>
PI3K	NF kappa B1 p50/RelA	component>
PI3K	I kappa B alpha/PIK3R1	component>
NF kappa B1 p50/RelA/I kappa B alpha	PIK3CA	component>
NF kappa B1 p50/RelA/I kappa B alpha	NF kappa B1 p50/RelA	component>
NF kappa B1 p50/RelA/I kappa B alpha	I kappa B alpha/PIK3R1	component>
RELA	BCL3/RelA	component>
BCL3	BCL3/RelA	component>
