abstract	cortical actin cytoskeleton organization
abstract	cell migration
smallMolecule	DAG
complex	RAS family/GTP
complex	EGFR/EGFR/EGF/EGF/PLCgamma1
complex	RAS family/GDP
complex	GRB2/N-WASP
complex	EGFR/EGFR/EGF/EGF/GRB2
protein	ERK1-2-active
complex	EGFR/EGFR/EGF/EGF/RasGAP
complex	PI3K Class IA family
complex	EGFR/EGFR/EGF/EGF/FAK
complex	GRB2/SOS1
complex	Gelsolin/PI-4-5-P2
complex	EGFR/EGFR/EGF/EGF/GRB2/N-WASP
complex	EGFR/EGFR/EGF/EGF/GRB2/PAK1
complex	EGFR/EGFR/EGF/EGF/NCK1-2/PAK1
complex	p66 SHC/GRB2/SOS1
complex	GRB2/PAK1
smallMolecule	phosphate
complex	NCK1-2/PAK1
complex	EGFR/EGFR/EGF/EGF/GRB2/GAB1/RasGAP
protein	JAK1-JAK2
complex	EGFR/EGFR/EGF/EGF/JAK1-JAK2
complex	PIP5K1C/Talin
complex	EGFR/EGFR/EGF/EGF/p52 SHC
complex	EGFR/EGFR/EGF/EGF/GRB2/GAB1
complex	EGFR/EGFR/EGF/EGF/p46 SHC/GRB2/SOS1
complex	EGFR/EGFR/EGF/EGF/p46 SHC
smallMolecule	PI-4-5-P2
protein	p52 SHC
complex	EGFR/EGFR/EGF/EGF/p52 SHC/GRB2/SOS1
protein	p66 SHC
complex	EGFR/EGFR/EGF/EGF/p66 SHC
smallMolecule	IP3
complex	EGFR/EGFR/EGF/EGF/GNAI1/GNAI3/GAB1/RasGAP
complex	EGFR/EGFR/EGF/EGF
protein	FAK
complex	EGFR/EGFR/EGF/EGF/GNAI1/GNAI3/GAB1
protein	SHP2
complex	EGFR/EGFR/EGF/EGF/GRB2/SOS1
smallMolecule	GDP
smallMolecule	GTP
protein	TLN1
protein	STAT3
protein	STAT1
protein	SRC
protein	SHC1
protein	RASA1
protein	PTPN6
protein	PTPN1
protein	PLCG1
protein	PIP5K1C
protein	GSN
protein	GRB2
protein	GNAI3
protein	GNAI1
protein	GAB1
SHP2	EGFR/EGFR/EGF/EGF	-a>
ERK1-2-active	EGFR/EGFR/EGF/EGF/p46 SHC	component>
ERK1-2-active	EGFR/EGFR/EGF/EGF/p52 SHC	component>
EGFR/EGFR/EGF/EGF/GNAI1/GNAI3/GAB1/RasGAP	RAS family/GDP	-a>
PTPN1	EGFR/EGFR/EGF/EGF	-a>
SHP2	EGFR/EGFR/EGF/EGF/GNAI1/GNAI3/GAB1	-a>
EGFR/EGFR/EGF/EGF/p52 SHC/GRB2/SOS1	RAS family/GTP	-a>
EGFR/EGFR/EGF/EGF/GRB2/GAB1/RasGAP	RAS family/GDP	-a>
SHP2	EGFR/EGFR/EGF/EGF/GRB2/GAB1	-a>
EGFR/EGFR/EGF/EGF/RasGAP	RAS family/GDP	-a>
EGFR/EGFR/EGF/EGF/PLCgamma1	GSN	component>
EGFR/EGFR/EGF/EGF/p46 SHC/GRB2/SOS1	RAS family/GTP	-a>
EGFR/EGFR/EGF/EGF/PLCgamma1	IP3	-a>
EGFR/EGFR/EGF/EGF/GRB2/SOS1	RAS family/GTP	-a>
ERK1-2-active	EGFR/EGFR/EGF/EGF	component>
PTPN6	EGFR/EGFR/EGF/EGF	-a>
EGFR/EGFR/EGF/EGF	SRC	-a>
EGFR/EGFR/EGF/EGF/GRB2/SOS1	GRB2/SOS1	component>
EGFR/EGFR/EGF/EGF/GRB2/SOS1	EGFR/EGFR/EGF/EGF	component>
RASA1	EGFR/EGFR/EGF/EGF/GRB2/GAB1	component>
RASA1	EGFR/EGFR/EGF/EGF/GRB2/GAB1/RasGAP	component>
EGFR/EGFR/EGF/EGF/GRB2/GAB1	EGFR/EGFR/EGF/EGF/GRB2/GAB1	component>
EGFR/EGFR/EGF/EGF/GRB2/GAB1	EGFR/EGFR/EGF/EGF/GRB2/GAB1/RasGAP	component>
EGFR/EGFR/EGF/EGF/GNAI1/GNAI3/GAB1	PI3K Class IA family	-a>
EGFR/EGFR/EGF/EGF/p46 SHC/GRB2/SOS1	GRB2/SOS1	component>
