abstract	cell survival
abstract	actin cytoskeleton reorganization
protein	GRP1
smallMolecule	DAG
complex	ARF1/GTP
complex	ARF6/GTP
protein	BTK-ITK
complex	Src family/SYK family/BLNK-LAT
complex	ARF5/GTP
complex	ARF1/GDP
complex	PDK1/Src/Hsp90
complex	ARF5/GDP
complex	PI3K Class IA family
complex	ARF6/GDP
complex	RhoA/GDP
complex	ARAP3/RAP1A/GTP
protein	TAPP1-2
complex	Src family/SYK family/BLNK-LAT/BTK-ITK/PLC-gamma
complex	RAS family/GTP/PI3K Class I
complex	RAC1/GDP
protein	GRP1 family
smallMolecule	IP4
complex	PAK1
protein	PLC-gamma family
complex	RAP1A/GTP
protein	Rac GEFs
protein	Src Family Kinases-active
complex	Src family/SYK family/BLNK-LAT/BTK-ITK
smallMolecule	PI-3-4-5-P3
complex	PI3K Class IB family
smallMolecule	PI-3-4-P2
smallMolecule	PI-4-5-P2
smallMolecule	Ca2+
smallMolecule	IP3
complex	RhoA/GTP
protein	SHIP1-2
smallMolecule	GDP
smallMolecule	GTP
protein	SGK1
protein	PTEN
protein	FOXO3
protein	DAPP1
protein	CYTH2
protein	ARAP3
protein	ADAP1
Rac GEFs	PAK1	-a>
PI3K Class IA family	PAK1	-a>
ARAP3/RAP1A/GTP	RhoA/GDP	-a>
PAK1	actin cytoskeleton reorganization	-ap>
RhoA/GDP	actin cytoskeleton reorganization	-ap>
PI-3-4-5-P3	SGK1	-a>
GRP1	ARF5/GTP	-a>
PI3K Class IB family	PI-3-4-5-P3	-a>
PTEN	IP3	-a>
PTEN	PI-4-5-P2	-a>
Src family/SYK family/BLNK-LAT/BTK-ITK/PLC-gamma	DAG	-a>
PTEN	PI-3-4-5-P3	-a|
RAS family/GTP/PI3K Class I	PI-3-4-5-P3	-a>
PI3K Class IA family	PI-3-4-5-P3	-a>
CYTH2	ARF6/GTP	-a>
SHIP1-2	PI-3-4-P2	-a>
IP4	ARF1/GTP	-a|
GRP1 family	ARF1/GTP	-a>
ARAP3	ARF6/GDP	-a>
Src Family Kinases-active	DAPP1	-a>
PLC-gamma family	Src family/SYK family/BLNK-LAT/BTK-ITK/PLC-gamma	component>
Src family/SYK family/BLNK-LAT/BTK-ITK	Src family/SYK family/BLNK-LAT/BTK-ITK/PLC-gamma	component>
GTP	PAK1	-a>
RAC1/GDP	GDP	-a>
RAC1/GDP	PAK1	-a>
PI-3-4-5-P3	GRP1 family	-a>
GDP	RhoA/GDP	-a>
RhoA/GTP	GTP	-a>
RhoA/GTP	RhoA/GDP	-a>
ARF6/GDP	actin cytoskeleton reorganization	-ap>
Src family/SYK family/BLNK-LAT	Src family/SYK family/BLNK-LAT/BTK-ITK	component>
BTK-ITK	Src family/SYK family/BLNK-LAT/BTK-ITK	component>
PDK1/Src/Hsp90	SGK1	-a>
GTP	ARF5/GTP	-a>
ARF5/GDP	GDP	-a>
ARF5/GDP	ARF5/GTP	-a>
SGK1	FOXO3	-a>
SGK1	SGK1	-a>
IP3	Ca2+	-a>
IP4	IP3	-a>
RAP1A/GTP	ARAP3/RAP1A/GTP	component>
ARAP3	ARAP3/RAP1A/GTP	component>
PI-3-4-5-P3	PI-4-5-P2	-a>
PI-4-5-P2	IP3	-a>
PI-4-5-P2	DAG	-a>
FOXO3	cell survival	-ap>
PI-3-4-5-P3	ARAP3	-a>
PI-4-5-P2	PI-3-4-5-P3	-a>
GTP	ARF6/GTP	-a>
ARF6/GDP	GDP	-a>
ARF6/GDP	ARF6/GTP	-a>
PI-3-4-5-P3	PI-3-4-P2	-a>
PI-3-4-5-P3	ADAP1	-a>
GTP	GDP	-a>
GTP	ARF1/GTP	-a>
ARF1/GDP	GDP	-a>
ARF1/GDP	ARF1/GTP	-a>
PI-3-4-5-P3	BTK-ITK	-a>
GDP	GTP	-a>
GDP	ARF6/GDP	-a>
ARF6/GTP	GTP	-a>
ARF6/GTP	ARF6/GDP	-a>
PI-3-4-P2	TAPP1-2	-a>
PI-3-4-P2	DAPP1	-a>
