abstract	positive regulation of Ras protein signal transduction
abstract	Granulosa Cell
abstract	hemidesmosome assembly
abstract	myelination in the peripheral nervous system
abstract	Ligand binding
abstract	Tumor Cell Invasion
abstract	cell migration
abstract	cell adhesion
abstract	degradation
abstract	apoptosis
abstract	proteasomal ubiquitin-dependent protein catabolic process
complex	alpha6/beta4 Integrin/Laminin/BP180
complex	alpha6/beta4 Integrin/SHC
complex	Rac1b/GDP
complex	alpha6/beta4 (cleaved) Integrin/Laminin
protein	Caspase 3 (cleaved)
complex	RXRs/RXRs/DNA/9cRA
complex	alpha6/beta4 Integrin
complex	alpha6/beta4 Integrin/Met
protein	Caspase 7 (cleaved)
complex	Laminin
complex	Ron/MSP/14-3-3 family
complex	alpha6/beta1 Integrin
complex	alpha6/beta4 Integrin/Laminin/PMP-22
complex	alpha6/beta4 Integrin/Laminin
complex	alpha6/beta1 Integrin/CD9
complex	HRAS/GDP
complex	alpha6/beta1 Integrin/Laminin
complex	HRAS/GTP
complex	alpha6/beta4 Integrin/SHC/GRB2
complex	alpha6/beta4 Integrin/Met /SHC/PI3K
complex	alpha6/beta4 Integrin/Laminin/14-3-3
protein	beta1 Integrin
complex	PI3K
complex	EGF/EGFR
protein	alpha6 Integrin
complex	Rac1b/GTP
protein	14-3-3 family
protein	SHC1
protein	RPS6KB1
protein	PRKCA
protein	PMP22
protein	MST1R
protein	MST1
protein	MET
protein	ITGB4
protein	IL1A
protein	GRB2
protein	ERBB3
protein	ERBB2
protein	COL17A1
protein	CDH1
protein	CD9
protein	AKT1
Caspase 3 (cleaved)	alpha6/beta4 (cleaved) Integrin/Laminin	-a>
ERBB3	AKT1	-a>
Granulosa Cell	alpha6/beta1 Integrin/CD9	component>
Ligand binding	alpha6/beta4 Integrin/Laminin	-a>
PRKCA	alpha6/beta4 Integrin/Laminin/14-3-3	component>
PI3K	Rac1b/GTP	-a>
PRKCA	alpha6/beta4 Integrin/Laminin	-a>
EGF/EGFR	alpha6/beta4 Integrin/Laminin	-a>
cell adhesion	alpha6/beta4 Integrin/Laminin	-a>
alpha6/beta1 Integrin	proteasomal ubiquitin-dependent protein catabolic process	-ap>
AKT1	Ron/MSP/14-3-3 family	component>
Ligand binding	alpha6/beta4 Integrin	-a>
ERBB2	HRAS/GTP	-a>
EGF/EGFR	HRAS/GTP	-a>
alpha6/beta4 Integrin	HRAS/GTP	-a>
cell adhesion	HRAS/GTP	-a>
Caspase 7 (cleaved)	alpha6/beta4 (cleaved) Integrin/Laminin	-a>
apoptosis	alpha6/beta4 (cleaved) Integrin/Laminin	-a>
alpha6/beta4 Integrin/Laminin	ERBB3	component>
RXRs/RXRs/DNA/9cRA	alpha6 Integrin	-t>
beta1 Integrin	alpha6/beta4 Integrin	component>
beta1 Integrin	alpha6/beta1 Integrin	component>
ITGB4	alpha6/beta4 Integrin	component>
ITGB4	alpha6/beta1 Integrin	component>
alpha6 Integrin	alpha6/beta4 Integrin	component>
alpha6 Integrin	alpha6/beta1 Integrin	component>
alpha6/beta4 Integrin/Laminin	AKT1	-a>
