complex	RPA heterotrimer
complex	Processive complex:Okazaki fragment:Flap
complex	Processive complex:nicked DNA from adjacent Okazaki fragments
smallMolecule	CMP
complex	Processive complex:Okazaki fragment:Flap:RPA heterotrimer:dna2
smallMolecule	UMP
smallMolecule	GMP
complex	Processive complex:Okazaki fragments:Remaining Flap
smallMolecule	AMP
complex	Processive complex:Okazaki fragment:Flap:RPA heterotrimer
protein	FEN1
protein	DNA2
FEN1	Processive complex:nicked DNA from adjacent Okazaki fragments	-a>
RPA heterotrimer	Processive complex:Okazaki fragment:Flap:RPA heterotrimer	component>
Processive complex:Okazaki fragment:Flap	Processive complex:Okazaki fragment:Flap:RPA heterotrimer	component>
Processive complex:Okazaki fragment:Flap:RPA heterotrimer	Processive complex:Okazaki fragment:Flap:RPA heterotrimer:dna2	component>
DNA2	Processive complex:Okazaki fragment:Flap:RPA heterotrimer:dna2	component>
Processive complex:Okazaki fragment:Flap:RPA heterotrimer:dna2	UMP	component>
Processive complex:Okazaki fragment:Flap:RPA heterotrimer:dna2	AMP	component>
Processive complex:Okazaki fragment:Flap:RPA heterotrimer:dna2	CMP	component>
Processive complex:Okazaki fragment:Flap:RPA heterotrimer:dna2	RPA heterotrimer	component>
Processive complex:Okazaki fragment:Flap:RPA heterotrimer:dna2	DNA2	component>
Processive complex:Okazaki fragment:Flap:RPA heterotrimer:dna2	Processive complex:Okazaki fragments:Remaining Flap	component>
Processive complex:Okazaki fragment:Flap:RPA heterotrimer:dna2	GMP	component>
Processive complex:Okazaki fragments:Remaining Flap	Processive complex:nicked DNA from adjacent Okazaki fragments	-a>
