smallMolecule	Carnitine
smallMolecule	Octanoyl-CoA
smallMolecule	O-Acetylcarnitine
smallMolecule	CoA
complex	ACOX1 homodimer
protein	UniProt:P43155 CRAT
smallMolecule	Acetate
smallMolecule	H2O
complex	HSD17B4 dimer
smallMolecule	DPN
smallMolecule	NADH
smallMolecule	Acetyl-CoA
smallMolecule	H+
smallMolecule	O2
smallMolecule	H2O2
protein	ACOT8
UniProt:P43155 CRAT	O-Acetylcarnitine	-a>
HSD17B4 dimer	NADH	-a>
ACOT8	Acetate	-a>
ACOX1 homodimer	H2O2	-a>
Acetyl-CoA	O-Acetylcarnitine	-a>
Carnitine	CoA	-a>
Carnitine	O-Acetylcarnitine	-a>
O2	Acetyl-CoA	-a>
O2	H+	-a>
O2	NADH	-a>
O2	Octanoyl-CoA	-a>
CoA	H2O2	-a>
CoA	Acetyl-CoA	-a>
CoA	H+	-a>
CoA	NADH	-a>
CoA	Octanoyl-CoA	-a>
DPN	H2O2	-a>
DPN	Acetyl-CoA	-a>
DPN	H+	-a>
DPN	NADH	-a>
DPN	Octanoyl-CoA	-a>
H2O	H2O2	-a>
H2O	Acetyl-CoA	-a>
H2O	H+	-a>
H2O	NADH	-a>
H2O	Octanoyl-CoA	-a>
H2O	CoA	-a>
H2O	Acetate	-a>
Acetyl-CoA	CoA	-a>
Acetyl-CoA	Acetate	-a>
O2	H2O2	-a>
