complex	Mature intronless derived mRNA complex
complex	Nuclear Pore Complex (NPC)
complex	CPSF
complex	Mature intronless derived mRNA:TAP:Aly/Ref complex
complex	Nucleoplasmic mature intronless derived mRNA:TAP:Aly/Ref complex
complex	Mature Intronless Transcript Derived mRNA:eIF4E Complex
complex	Cap Binding Complex (CBC)
protein	THOC4
protein	NXF1
protein	EIF4E
Nuclear Pore Complex (NPC)	Mature intronless derived mRNA:TAP:Aly/Ref complex	-a>
Nuclear Pore Complex (NPC)	CPSF	component>
Nuclear Pore Complex (NPC)	THOC4	component>
Nucleoplasmic mature intronless derived mRNA:TAP:Aly/Ref complex	Mature intronless derived mRNA:TAP:Aly/Ref complex	-a>
THOC4	Cap Binding Complex (CBC)	component>
THOC4	Nucleoplasmic mature intronless derived mRNA:TAP:Aly/Ref complex	component>
THOC4	CPSF	component>
NXF1	Cap Binding Complex (CBC)	component>
NXF1	Nucleoplasmic mature intronless derived mRNA:TAP:Aly/Ref complex	component>
NXF1	CPSF	component>
Mature intronless derived mRNA complex	Cap Binding Complex (CBC)	component>
Mature intronless derived mRNA complex	Nucleoplasmic mature intronless derived mRNA:TAP:Aly/Ref complex	component>
Mature intronless derived mRNA complex	CPSF	component>
Mature intronless derived mRNA:TAP:Aly/Ref complex	Mature Intronless Transcript Derived mRNA:eIF4E Complex	component>
Mature intronless derived mRNA:TAP:Aly/Ref complex	NXF1	component>
Mature intronless derived mRNA:TAP:Aly/Ref complex	THOC4	component>
EIF4E	Mature Intronless Transcript Derived mRNA:eIF4E Complex	component>
EIF4E	NXF1	component>
EIF4E	THOC4	component>
