smallMolecule	3alpha,7alpha,12alpha-trihydroxy-24-oxo-5beta-cholestanoyl-CoA
protein	UniProt:Q9UHK6 AMACR
smallMolecule	3alpha,7alpha,12alpha,26-Tetrahydroxy-5beta-cholestane
smallMolecule	7alpha-hydroxycholest-4-en-3-one
smallMolecule	(25S)-3alpha,7alpha,12alpha-trihydroxy-5beta-cholestanoyl-CoA
smallMolecule	3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestanoate
smallMolecule	CoA
smallMolecule	Chenodeoxycholoyl-CoA
protein	UniProt:P22307-1 SCP2
smallMolecule	3alpha,7alpha-dihydroxy-24-oxo-5beta-cholestanoyl-CoA
smallMolecule	7alpha,12alpha-dihydroxycholest-4-en-3-one
smallMolecule	TPNH
smallMolecule	7alpha,12alpha-Dihydroxy-5beta-cholestan-3-one
smallMolecule	taurochenodeoxycholate
smallMolecule	5beta-Cholestane-3alpha,7alpha,26-triol
smallMolecule	3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestan-26-al
smallMolecule	3alpha,7alpha-Dihydroxy-5beta-cholestanate
smallMolecule	H2O
smallMolecule	Propionyl-CoA
smallMolecule	(25R)-3alpha,7alpha,12alpha-trihydroxy-5beta-cholestanoyl-CoA
complex	HSD17B4 dimer
smallMolecule	3alpha,7alpha,24-trihydroxy-5beta-cholestanoyl-CoA
smallMolecule	3alpha,7alpha-Dihydroxy-5beta-cholestan-26-al
smallMolecule	TPN
smallMolecule	choloyl-CoA
smallMolecule	3alpha,7alpha,12alpha-Trihydroxycoprostane
smallMolecule	DPN
smallMolecule	3alpha,7alpha-Dihydroxy-5beta-cholestanoyl-CoA
complex	Acyl-CoA oxidase 2 (FAD cofactor)
smallMolecule	bile salts
smallMolecule	NADH
smallMolecule	7alpha-Hydroxy-5beta-cholestan-3-one
smallMolecule	3alpha,7alpha-dihydroxy-5beta-cholest-24-enoyl-CoA
smallMolecule	Glycine
smallMolecule	taurocholate
smallMolecule	PPi
smallMolecule	AMP
smallMolecule	cholate
smallMolecule	5beta-cholestane-3alpha,7alpha-diol
smallMolecule	H+
smallMolecule	O2
smallMolecule	ATP
smallMolecule	ADP
smallMolecule	phosphate
smallMolecule	7alpha-Hydroxycholesterol
smallMolecule	H2O2
smallMolecule	Cholesterol
protein	SLC27A5
protein	SLC27A2
protein	HSD3B7
protein	CYP8B1
protein	CYP7A1
protein	CYP27A1
protein	BAAT
protein	AKR1D1
protein	AKR1C4
protein	ACOT8
protein	ABCB11
SLC27A2	H2O	-a>
UniProt:Q9UHK6 AMACR	(25S)-3alpha,7alpha,12alpha-trihydroxy-5beta-cholestanoyl-CoA	-a>
SLC27A2	3alpha,7alpha-Dihydroxy-5beta-cholestanoyl-CoA	-a>
UniProt:P22307-1 SCP2	Chenodeoxycholoyl-CoA	-a>
UniProt:P22307-1 SCP2	Propionyl-CoA	-a>
CYP7A1	H2O	-a>
ACOT8	cholate	-a>
AKR1D1	7alpha,12alpha-Dihydroxy-5beta-cholestan-3-one	-a>
CYP27A1	3alpha,7alpha-Dihydroxy-5beta-cholestan-26-al	-a>
ABCB11	bile salts	-a>
CYP27A1	5beta-Cholestane-3alpha,7alpha,26-triol	-a>
Acyl-CoA oxidase 2 (FAD cofactor)	H2O2	-a>
CYP27A1	3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestan-26-al	-a>
SLC27A5	H2O	-a>
AKR1D1	TPN	-a>
HSD3B7	7alpha-hydroxycholest-4-en-3-one	-a>
CYP27A1	H2O	-a>
BAAT	CoA	-a>
SLC27A5	PPi	-a>
HSD17B4 dimer	3alpha,7alpha,24-trihydroxy-5beta-cholestanoyl-CoA	-a>
AKR1C4	TPN	-a>
CYP8B1	7alpha,12alpha-dihydroxycholest-4-en-3-one	-a>
HSD17B4 dimer	NADH	-a>
AKR1C4	3alpha,7alpha,12alpha-Trihydroxycoprostane	-a>
(25R)-3alpha,7alpha,12alpha-trihydroxy-5beta-cholestanoyl-CoA	(25S)-3alpha,7alpha,12alpha-trihydroxy-5beta-cholestanoyl-CoA	-a>
O2	3alpha,7alpha-dihydroxy-5beta-cholest-24-enoyl-CoA	-a>
3alpha,7alpha-Dihydroxy-5beta-cholestanate	H2O	-a>
3alpha,7alpha-Dihydroxy-5beta-cholestanate	AMP	-a>
3alpha,7alpha-Dihydroxy-5beta-cholestanate	PPi	-a>
3alpha,7alpha-Dihydroxy-5beta-cholestanate	3alpha,7alpha-Dihydroxy-5beta-cholestanoyl-CoA	-a>
3alpha,7alpha-dihydroxy-24-oxo-5beta-cholestanoyl-CoA	Propionyl-CoA	-a>
3alpha,7alpha-dihydroxy-24-oxo-5beta-cholestanoyl-CoA	Chenodeoxycholoyl-CoA	-a>
CoA	Chenodeoxycholoyl-CoA	-a>
3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestan-26-al	3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestanoate	-a>
3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestan-26-al	TPN	-a>
3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestan-26-al	H2O	-a>
TPNH	3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestanoate	-a>
O2	3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestanoate	-a>
H+	3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestanoate	-a>
3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestanoate	3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestanoate	-a>
3alpha,7alpha,12alpha-trihydroxy-24-oxo-5beta-cholestanoyl-CoA	choloyl-CoA	-a>
3alpha,7alpha,12alpha-trihydroxy-24-oxo-5beta-cholestanoyl-CoA	Propionyl-CoA	-a>
CoA	choloyl-CoA	-a>
CoA	Propionyl-CoA	-a>
O2	7alpha-Hydroxycholesterol	-a>
TPNH	7alpha-Hydroxycholesterol	-a>
