complex	SHC/GRB2/SOS-1
complex	EGF/EGF R
complex	Angiotensin II/Angiotensin R/Gq11/g-beta/g-gamma
complex	p50/RELA/I-kappa-B-alpha
complex	I-kappa-B-alpha/RELA/p50/ubiquitin
complex	Angiotensin R/Gq11/g-beta/g-gamma
complex	RELA/p50
complex	Endothelin 1/Endothelin receptor
protein	Endothelin receptor
smallMolecule	PIP2
abstract	cell growth
abstract	protein ubiquitination
abstract	degradation
smallMolecule	DAG
protein	PKC
protein	IKKs
smallMolecule	ROS
smallMolecule	Ca2+
smallMolecule	IP3
smallMolecule	GDP
smallMolecule	GTP
protein	RPS6KA1
protein	RHOA
protein	RAF1
protein	PLCG1
protein	MYC
protein	MAPK3
protein	MAPK1
protein	MAP2K2
protein	MAP2K1
protein	JUN
protein	HRAS
protein	FOS
protein	EGFR
protein	EGF
protein	EDN1
protein	AGT
protein	ADAM12
IKKs	protein ubiquitination	-ap>
MAP2K2	MAPK3	-a>
EGF/EGF R	GDP	-a>
PLCG1	DAG	-a>
SHC/GRB2/SOS-1	GDP	-a>
MAPK1	JUN	-a>
MAPK1	RPS6KA1	-a>
MAPK1	MYC	-a>
MAPK1	FOS	-a>
DAG	PKC	-a>
ROS	cell growth	-ap>
RHOA	cell growth	-ap>
I-kappa-B-alpha/RELA/p50/ubiquitin	protein ubiquitination	-ap>
p50/RELA/I-kappa-B-alpha	protein ubiquitination	-ap>
MAP2K1	MAPK3	-a>
EGFR	EGF/EGF R	component>
EGF	EGF/EGF R	component>
MAPK1	MAPK1	-a>
MAPK1	MAPK3	-a>
MAPK3	MAPK1	-a>
MAPK3	MAPK3	-a>
RHOA	RHOA	-a>
RHOA	GDP	-a>
GTP	RHOA	-a>
ADAM12	EGF	-a>
PIP2	IP3	-a>
PIP2	DAG	-a>
HRAS	RAF1	-a>
HRAS	HRAS	-a>
HRAS	GDP	-a>
GTP	HRAS	-a>
GTP	GDP	-a>
MAPK3	JUN	-a>
FOS	cell growth	-ap>
MYC	cell growth	-ap>
RPS6KA1	IKKs	-a>
JUN	cell growth	-ap>
MAPK3	RPS6KA1	-a>
PKC	ADAM12	-a>
Endothelin 1/Endothelin receptor	PLCG1	-a>
Endothelin receptor	Endothelin 1/Endothelin receptor	component>
EDN1	Endothelin 1/Endothelin receptor	component>
MAPK3	MYC	-a>
MAPK3	FOS	-a>
IP3	Ca2+	-a>
Ca2+	PKC	-a>
RELA/p50	degradation	-ap>
I-kappa-B-alpha/RELA/p50/ubiquitin	degradation	-ap>
RELA/p50	cell growth	-ap>
EGF/EGF R	SHC/GRB2/SOS-1	-a>
RELA/p50	RELA/p50	-a>
Angiotensin R/Gq11/g-beta/g-gamma	Angiotensin II/Angiotensin R/Gq11/g-beta/g-gamma	component>
AGT	Angiotensin II/Angiotensin R/Gq11/g-beta/g-gamma	component>
Angiotensin II/Angiotensin R/Gq11/g-beta/g-gamma	PLCG1	-a>
MAP2K2	MAP2K2	-a>
MAP2K2	MAP2K1	-a>
MAP2K1	MAP2K2	-a>
RAF1	MAP2K1	-a>
