complex	IL-22/IL-22R1/IL-22/IL-22/IL-10R2C/TYK2/JAK1/JAK1/IL-22/IL-22R1/IL-22/IL-22/IL-10R2C/TYK2/IL-22/IL-22
complex	IL-22R1/JAK1
protein	STATs
complex	STATS/STATS
complex	IL-10R2C/TYK2
complex	IL-22/IL-22/IL-22R1/JAK1
complex	IL-22BP/IL-22/IL-22
complex	IL-22/IL-22/IL-10R2C/TYK2
protein	SOCS3
protein	IL22RA2
protein	IL22
IL-22/IL-22R1/IL-22/IL-22/IL-10R2C/TYK2/JAK1/JAK1/IL-22/IL-22R1/IL-22/IL-22/IL-10R2C/TYK2/IL-22/IL-22	STATS/STATS	component>
IL-22R1/JAK1	IL-22/IL-22/IL-22R1/JAK1	component>
IL22	IL-22/IL-22/IL-22R1/JAK1	component>
IL22	IL-22BP/IL-22/IL-22	component>
IL22RA2	IL-22BP/IL-22/IL-22	component>
STATS/STATS	STATS/STATS	-a>
STATs	STATS/STATS	component>
STATS/STATS	SOCS3	-t>
IL-22/IL-22/IL-10R2C/TYK2	IL-22/IL-22R1/IL-22/IL-22/IL-10R2C/TYK2/JAK1/JAK1/IL-22/IL-22R1/IL-22/IL-22/IL-10R2C/TYK2/IL-22/IL-22	component>
IL-22/IL-22/IL-22R1/JAK1	IL-22/IL-22R1/IL-22/IL-22/IL-10R2C/TYK2/JAK1/JAK1/IL-22/IL-22R1/IL-22/IL-22/IL-10R2C/TYK2/IL-22/IL-22	component>
IL-10R2C/TYK2	IL-22/IL-22/IL-10R2C/TYK2	component>
IL22	IL-22/IL-22/IL-10R2C/TYK2	component>
