abstract	actin filament organization
abstract	actin filament stabilization
complex	EOTAXIN/CCR3/g-alpha-s/g-beta/g-gamma
smallMolecule	exoenzyme C3
complex	CCR3/g-alpha-s/g-beta/g-gamma/g-alpha-q
smallMolecule	nucleoside diphosphate
smallMolecule	Y-27632
smallMolecule	guanosine 5`-triphosphate
smallMolecule	PIP2
smallMolecule	DAG
protein	PKC
smallMolecule	ROS
smallMolecule	Ca2+
smallMolecule	IP3
protein	ROCK2
protein	RHOA
protein	RAF1
protein	PTK2
protein	PPP1R12B
protein	PLCB1
protein	PIK3C2G
protein	MYL2
protein	MAPK3
protein	MAPK1
protein	MAP2K1
protein	LIMK1
protein	HRAS
protein	GNAQ
protein	DECR1
protein	CFL1
protein	CCL11
MAPK1	ROS	-t>
DAG	PKC	-a>
PLCB1	DAG	-a>
MAPK1	MAPK1	-a>
MAPK1	MAPK3	-a>
MAPK3	MAPK1	-a>
MAP2K1	MAPK3	-a>
guanosine 5`-triphosphate	nucleoside diphosphate	-a>
guanosine 5`-triphosphate	HRAS	-a>
HRAS	nucleoside diphosphate	-a>
PTK2	HRAS	-a>
RHOA	ROCK2	-a>
ROCK2	PPP1R12B	-a>
HRAS	RAF1	-a>
CFL1	actin filament stabilization	-ap>
PPP1R12B	MYL2	-a>
PIK3C2G	PTK2	-a>
RAF1	MAP2K1	-a>
DECR1	ROS	-t>
LIMK1	CFL1	-a>
EOTAXIN/CCR3/g-alpha-s/g-beta/g-gamma	PIK3C2G	-a>
PKC	DECR1	-a>
exoenzyme C3	RHOA	-a>
MAPK3	ROS	-t>
IP3	Ca2+	-a>
CCR3/g-alpha-s/g-beta/g-gamma/g-alpha-q	GNAQ	-a>
CCR3/g-alpha-s/g-beta/g-gamma/g-alpha-q	EOTAXIN/CCR3/g-alpha-s/g-beta/g-gamma	-a>
CCL11	GNAQ	-a>
CCL11	EOTAXIN/CCR3/g-alpha-s/g-beta/g-gamma	-a>
Ca2+	PKC	-a>
ROCK2	LIMK1	-a>
ROCK2	MYL2	-a>
PIP2	IP3	-a>
PIP2	DAG	-a>
GNAQ	PLCB1	-a>
MYL2	actin filament organization	-ap>
Y-27632	ROCK2	-a>
