complex	Integrin-alpha/Integrin-beta/ECM
smallMolecule	PIP2
abstract	cell proliferation
abstract	apoptosis
complex	PI3K
smallMolecule	PIP3
protein	ZBTB7A
protein	PDPK1
protein	FRAP1
protein	DPF2
protein	CCT4
protein	CASP7
protein	CASP3
protein	BIRC5
protein	AKT1
PI3K	PIP3	-a>
Integrin-alpha/Integrin-beta/ECM	BIRC5	-a>
PIP2	PIP3	-a>
BIRC5	apoptosis	-ap|
Integrin-alpha/Integrin-beta/ECM	CASP7	-a>
AKT1	FRAP1	-a>
ZBTB7A	cell proliferation	-ap>
DPF2	apoptosis	-ap>
FRAP1	cell proliferation	-ap>
Integrin-alpha/Integrin-beta/ECM	DPF2	-a>
Integrin-alpha/Integrin-beta/ECM	PI3K	-a>
PDPK1	AKT1	-a>
CCT4	cell proliferation	-ap>
PIP3	PDPK1	-a>
Integrin-alpha/Integrin-beta/ECM	CASP3	-a>
