complex	agrin/Integrin-alpha/Integrin-beta/dystroglycan 1/SRC/FAK/Paxillin/PKL/PIX/PAKs/dystrophin/actin/laminin/cortactin/Ach R/RAPSYN/utrophin
complex	MUSK/DVL/PAKs
complex	neuregulin/ErbB1
complex	agrin/Integrin-alpha/Integrin-beta/dystroglycan 1/SRC/FAK/Paxillin/PKL/PIX/PAKs/dystrophin/actin/laminin/cortactin
complex	Ach R/RAPSYN
complex	agrin/Integrin-alpha/Integrin-beta/dystroglycan 1/SRC/FAK/Paxillin/PKL/PIX/PAKs/dystrophin/actin
protein	Ach R
protein	neuregulin
protein	Laminin
complex	agrin/Integrin-alpha/Integrin-beta/dystroglycan 1/SRC/FAK/Paxillin/PKL/PIX/PAKs/dystrophin/actin/laminin
smallMolecule	GDP
smallMolecule	GTP
protein	UTRN
protein	SP1
protein	RAPSN
protein	RAC1
protein	MAPK8
protein	MAPK3
protein	MAPK1
protein	JUN
protein	EGFR
protein	CTTN
protein	CDC42
CDC42	CTTN	-a>
neuregulin/ErbB1	MAPK3	-a>
JUN	Ach R	-t>
RAC1	MAPK8	-a>
CDC42	MUSK/DVL/PAKs	-a>
SP1	Ach R	-t>
Laminin	agrin/Integrin-alpha/Integrin-beta/dystroglycan 1/SRC/FAK/Paxillin/PKL/PIX/PAKs/dystrophin/actin/laminin	component>
agrin/Integrin-alpha/Integrin-beta/dystroglycan 1/SRC/FAK/Paxillin/PKL/PIX/PAKs/dystrophin/actin	agrin/Integrin-alpha/Integrin-beta/dystroglycan 1/SRC/FAK/Paxillin/PKL/PIX/PAKs/dystrophin/actin/laminin	component>
RAC1	CTTN	-a>
RAPSN	Ach R/RAPSYN	component>
Ach R	Ach R/RAPSYN	component>
MAPK1	MAPK1	-a>
MAPK1	MAPK3	-a>
MAPK3	MAPK1	-a>
MAPK3	MAPK3	-a>
MAPK1	JUN	-a>
JUN	UTRN	-t>
RAC1	MUSK/DVL/PAKs	-a>
CTTN	agrin/Integrin-alpha/Integrin-beta/dystroglycan 1/SRC/FAK/Paxillin/PKL/PIX/PAKs/dystrophin/actin/laminin/cortactin	component>
agrin/Integrin-alpha/Integrin-beta/dystroglycan 1/SRC/FAK/Paxillin/PKL/PIX/PAKs/dystrophin/actin/laminin	agrin/Integrin-alpha/Integrin-beta/dystroglycan 1/SRC/FAK/Paxillin/PKL/PIX/PAKs/dystrophin/actin/laminin/cortactin	component>
GTP	GDP	-a>
GTP	RAC1	-a>
RAC1	GDP	-a>
agrin/Integrin-alpha/Integrin-beta/dystroglycan 1/SRC/FAK/Paxillin/PKL/PIX/PAKs/dystrophin/actin/laminin	RAC1	-a>
MUSK/DVL/PAKs	CDC42	-a>
MAPK8	JUN	-a>
EGFR	neuregulin/ErbB1	component>
neuregulin	neuregulin/ErbB1	component>
MAPK8	MAPK8	-a>
agrin/Integrin-alpha/Integrin-beta/dystroglycan 1/SRC/FAK/Paxillin/PKL/PIX/PAKs/dystrophin/actin/laminin	CTTN	-a>
MAPK8	SP1	-a>
CDC42	MAPK8	-a>
agrin/Integrin-alpha/Integrin-beta/dystroglycan 1/SRC/FAK/Paxillin/PKL/PIX/PAKs/dystrophin/actin/laminin/cortactin	agrin/Integrin-alpha/Integrin-beta/dystroglycan 1/SRC/FAK/Paxillin/PKL/PIX/PAKs/dystrophin/actin/laminin/cortactin/Ach R/RAPSYN/utrophin	component>
UTRN	agrin/Integrin-alpha/Integrin-beta/dystroglycan 1/SRC/FAK/Paxillin/PKL/PIX/PAKs/dystrophin/actin/laminin/cortactin/Ach R/RAPSYN/utrophin	component>
Ach R/RAPSYN	agrin/Integrin-alpha/Integrin-beta/dystroglycan 1/SRC/FAK/Paxillin/PKL/PIX/PAKs/dystrophin/actin/laminin/cortactin/Ach R/RAPSYN/utrophin	component>
MAPK3	SP1	-a>
MUSK/DVL/PAKs	RAC1	-a>
SP1	UTRN	-t>
agrin/Integrin-alpha/Integrin-beta/dystroglycan 1/SRC/FAK/Paxillin/PKL/PIX/PAKs/dystrophin/actin/laminin	CDC42	-a>
MAPK3	JUN	-a>
Ach R	Ach R	-a>
MAPK1	SP1	-a>
