complex	SHC/GRB2/SOS-1
complex	EGF/EGF-R
smallMolecule	GDP
smallMolecule	GTP
protein	RAC1
protein	NCOR2
protein	MAPK14
protein	MAP3K1
protein	MAP2K4
protein	MAP2K1
protein	HRAS
protein	EGFR
protein	EGF
SHC/GRB2/SOS-1	GDP	-a>
NCOR2	NCOR2	-a>
EGF/EGF-R	SHC/GRB2/SOS-1	-a>
MAP3K1	MAP2K1	-a>
RAC1	MAP3K1	-a>
HRAS	HRAS	-a>
HRAS	GDP	-a>
GTP	HRAS	-a>
GTP	GDP	-a>
MAP3K1	NCOR2	-a>
MAP2K4	MAPK14	-a>
MAP2K1	NCOR2	-a>
MAP3K1	MAP2K4	-a>
HRAS	RAC1	-a>
EGFR	EGF/EGF-R	component>
EGF	EGF/EGF-R	component>
MAPK14	NCOR2	-a>
