complex	SHC/GRB2/SOS-1
complex	NGF/NGF R/SHC/GRB2/SOS-1
smallMolecule	nucleoside diphosphate
complex	NGF/NGF R
protein	NGFB
smallMolecule	guanosine 5`-triphosphate
complex	p35/CDK5
protein	RAF1
protein	NGFR
protein	MAPK3
protein	MAPK1
protein	MAP2K2
protein	MAP2K1
protein	HRAS
protein	EGR1
protein	CDK5R1
protein	CDK5
MAP2K2	MAPK3	-a>
MAPK1	EGR1	-a>
p35/CDK5	MAP2K1	-a>
EGR1	CDK5R1	-t>
HRAS	RAF1	-a>
CDK5R1	CDK5R1	-a>
NGFR	NGF/NGF R	component>
NGFB	NGF/NGF R	component>
MAPK1	MAPK1	-a>
MAPK1	MAPK3	-a>
MAPK3	MAPK1	-a>
MAP2K1	MAPK3	-a>
CDK5	p35/CDK5	component>
CDK5R1	p35/CDK5	component>
SHC/GRB2/SOS-1	NGF/NGF R/SHC/GRB2/SOS-1	component>
NGF/NGF R	NGF/NGF R/SHC/GRB2/SOS-1	component>
guanosine 5`-triphosphate	nucleoside diphosphate	-a>
guanosine 5`-triphosphate	HRAS	-a>
HRAS	nucleoside diphosphate	-a>
NGF/NGF R/SHC/GRB2/SOS-1	HRAS	-a>
MAPK3	EGR1	-a>
MAP2K2	MAP2K2	-a>
MAP2K2	MAP2K1	-a>
MAP2K1	MAP2K2	-a>
RAF1	MAP2K1	-a>
